brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Honda, Տեղադրված է՝  02.02.2019, ID: 1994829,Fit ,3 200 $,2005,,Սև,,Հետչբեք,,Աջ,,,Բենզին,,,113000 կմ,Վարիատոր,
Honda, Տեղադրված է՝  02.02.2019, ID: 1994726,Elysion ,4 900 $,2006,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Բենզին,,,107000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  02.02.2019, ID: 1994585,HR-V ,3 500 $,2000,,Սպիտակ,,Ունիվերսալ,,Աջ,,,Գազ,,,160000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  02.02.2019, ID: 1994354,FX35 ,13 999 $,2009,"20""",Սպիտակ,4,Ամենագնաց,303,Ձախ,6,4X4 kanadakan,Բենզին,3.5,Սև,126000 մղոն,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  02.02.2019, ID: 1994319,Stepwgn ,5 350 $,2008,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Փոխված աջից ձախ,,2.0 avtomat,Բենզին,,,125000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  02.02.2019, ID: 1994305,QX4 ,5 800 $,2002,,Այլ գույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,150000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  02.02.2019, ID: 1994233,Elysion ,5 300 $,2006,"16""",Սև,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Honda Elysion 2006 IDEALAKAN Jap,Բենզին,2.4,Սև,135000 կմ,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  02.02.2019, ID: 1994195,Transit ,6 800 $,2001,"16""",Սպիտակ,4,Ունիվերսալ,125,Ձախ,4,"2,4 125diauj",Դիզել,2.4,Մոխրագույն,178000 կմ,Մեխանիկական,Ետևի
Honda, Տեղադրված է՝  02.02.2019, ID: 1994108,Fit ,2 700 $,2007,,Սպիտակ,,Հետչբեք,,Աջ,,,Բենզին,,,106000 կմ,Վարիատոր,
Ford, Տեղադրված է՝  02.02.2019, ID: 1994073,Transit ,7 500 $,2003,"16""",Սպիտակ,4,Սեդան,125,Ձախ,,,Դիզել,2.4,Մոխրագույն,220000 կմ,Մեխանիկական,Ետևի
