brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Jeep, Տեղադրված է՝  17.02.2019, ID: 2020688,Grand Cherokee ,4 500 $,2001,,Մոխրագույն,,Ամենագնաց,,Ձախ,,4 Litranoc mator 2-noc gazi balo,Գազ,,,200000 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020626,Fusion ,8 500 $,2013,,Սև,,Սեդան,,Ձախ,,FULL,Բենզին,,,98000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  17.02.2019, ID: 2020621,Elysion ,5 400 $,2006,,Սպիտակ,,Ունիվերսալ,,Ձախ,,,Բենզին,,,104000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  17.02.2019, ID: 2020555,FX35 ,13 500 $,2009,"18""",Սպիտակ,5,Ամենագնաց,,Ձախ,6,Gerazanc vichak 4x4 kanadakan,Բենզին,3.5,Սև,125000 կմ,Ավտոմատ,Լիաքարշակ
Infiniti, Տեղադրված է՝  17.02.2019, ID: 2020516,FX35 ,15 800 $,2012,,Սպիտակ,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,71000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  17.02.2019, ID: 2020508,FX35 ,8 900 $,2007,,Սև,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,107000 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020499,Transit ,5 000 $,2001,,Սպիտակ,,Ֆուրգոն,,Ձախ,,ANTERI GERAZANC HOR BERVAC,Դիզել,,,143998 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020498,Transit ,4 800 $,2001,,Սպիտակ,,Ֆուրգոն,,Ձախ,,ANTERI GERAZANC HOR BERVAC,Դիզել,,,164000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020497,Transit ,7 200 $,2005,,Սպիտակ,,Ֆուրգոն,,Ձախ,,IDEAJAKAN VICHAK 125 ZIAUJ,Դիզել,,,162000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020496,Transit ,7 000 $,2003,,Սպիտակ,,Ֆուրգոն,,Ձախ,,IDEAJAKAN VICHAK 125 ZIAUJ,Դիզել,,,152000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  17.02.2019, ID: 2020490,Transit ,11 000 $,2011,,Սպիտակ,,Ֆուրգոն,,Ձախ,,"ՇՏԱՊ,Նոր է բերված",Դիզել,2.4,,108000 կմ,Մեխանիկական,
Honda, Տեղադրված է՝  17.02.2019, ID: 2020443,CR-V ,3 800 $,2001,"15""",Սև,4,Ամենագնաց,140,Ձախ,4,գազ 1.6,Գազ,2.0,,208000 կմ,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  17.02.2019, ID: 2020432,CR-V ,4 200 $,2001,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,222000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  16.02.2019, ID: 2020293,Elysion ,5 500 $,2005,"17""",Ոսկեգույն,5,Մինիվեն / Միկրոավտոբուս,160,Ձախ,4,JAPAN,Բենզին,2.4,Բեժ,161000 կմ,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  16.02.2019, ID: 2020287,Transit ,6 950 $,2005,"16""",Սպիտակ,5,Ֆուրգոն,90,Ձախ,4,Nor bervac,Դիզել,2.4,,190000 կմ,Մեխանիկական,Ետևի
Ford, Տեղադրված է՝  16.02.2019, ID: 2020263,Transit ,4 500 $,2002,,Սպիտակ,,Ֆուրգոն,110,Ձախ,,Connect 1.8 turbo,Դիզել,1.8,,70000 կմ,Մեխանիկական,
Honda, Տեղադրված է՝  16.02.2019, ID: 2020259,Fit ,5 400 $,2008,,Սպիտակ,,Հետչբեք,,Աջ,,Rs 1.5 120HP,Բենզին,,,837383 կմ,Ավտոմատ,
