brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Toyota, Տեղադրված է՝  02.02.2019, ID: 1994810,Camry ,7 000 $,2007,"16""",Այլ գույն,4,Սեդան,147,Ձախ,4,FULL XLE,Բենզին,2.4,Բեժ,170000 կմ,Ավտոմատ,Առջևի
BMW, Տեղադրված է՝  02.02.2019, ID: 1994801,525 ,7 800 $,2004,,Սպիտակ,,Սեդան,,Ձախ,,E60 Japan հատուկ թողարկում,Բենզին,,,176000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  02.02.2019, ID: 1994793,X-Trail ,4 399 $,2005,"17""",Այլ գույն,,Ամենագնաց,150,Ձախ,,2.0l NOR BERVAC,Բենզին,2.0,Մոխրագույն,11 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  02.02.2019, ID: 1994790,S 320 ,4 800 $,2002,,Սպիտակ,,Սեդան,,Ձախ,,3.2,Բենզին,,,48000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  02.02.2019, ID: 1994786,Corolla ,7 300 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,SPORT,Բենզին,1.8,,160000 կմ,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  02.02.2019, ID: 1994773,X-Trail ,4 400 $,2005,"17""",Այլ գույն,,Ամենագնաց,150,Ձախ,,2.0l NOR BERVAC,Բենզին,2.0,Մոխրագույն,15 կմ,Ավտոմատ,Լիաքարշակ
Toyota, Տեղադրված է՝  02.02.2019, ID: 1994745,Corolla ,7 500 $,2009,,Սպիտակ,,Սեդան,,Ձախ,,COROLLA-SPORT 1.8,Բենզին,,,93000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  02.02.2019, ID: 1994742,E 320 ,4 300 $,2000,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,126 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  02.02.2019, ID: 1994738,S 550 ,17 500 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,120000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  02.02.2019, ID: 1994736,320 ,5 800 $,2004,,Կապույտ,,Սեդան,,Ձախ,,Ufiydugix,Բենզին,,,118000 կմ,Ավտոմատ,
