brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Infiniti, Տեղադրված է՝  25.11.2018, ID: 1903285,G37 ,14 300 $,2012,"18""",Սպիտակ,4,Սեդան,,Ձախ,6,REYSTAYLING XS 11.2011,Բենզին,3.7,Սև,101000 կմ,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  25.11.2018, ID: 1903232,Elysion ,8 300 $,2008,,Սպիտակ,,Ունիվերսալ,,Աջ,,,Բենզին,,,150000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  25.11.2018, ID: 1903218,Fit ,3 300 $,2005,,Մոխրագույն,,Հետչբեք,,Աջ,,1.3,Բենզին,,,230000 կմ,Վարիատոր,
Honda, Տեղադրված է՝  25.11.2018, ID: 1903162,Elysion ,5 700 $,2007,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Փոխված աջից ձախ,,Elysion 2.4 dzaz,Բենզին,,,70000 կմ,Ավտոմատ,
GAZ, Տեղադրված է՝  25.11.2018, ID: 1903157,Газель ,1 700 $,2004,"16""",Սպիտակ,4,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Գազ,,Մոխրագույն,170000 կմ,Մեխանիկական,Ետևի
Ford, Տեղադրված է՝  25.11.2018, ID: 1903134,Transit ,7 500 $,2007,,Արծաթագույն,,Սեդան,,Ձախ,,2.2 Mator ) 130 Dziauj,Դիզել,,,142000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  25.11.2018, ID: 1903133,Transit ,7 500 $,2007,,Արծաթագույն,,Սեդան,,Ձախ,,2.2 Mator ) 130 Dziauj,Դիզել,,,142000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  25.11.2018, ID: 1903062,Transit ,7 300 $,2005,"16""",Արծաթագույն,4,Մինիվեն / Միկրոավտոբուս,125,Ձախ,4,,Դիզել,2.4,Մոխրագույն,170000 կմ,Մեխանիկական,Ետևի
Honda, Տեղադրված է՝  25.11.2018, ID: 1903052,Insight ,5 900 $,2012,,Արծաթագույն,,Հետչբեք,,Աջ,,HYBRID,Հիբրիդ,,,160000 կմ,Վարիատոր,
Honda, Տեղադրված է՝  25.11.2018, ID: 1902997,Odyssey ,7 499 $,2007,,Կապույտ,,Սեդան,,Ձախ,,3.5,Բենզին,,,90000 մղոն,Ավտոմատ,
Infiniti, Տեղադրված է՝  25.11.2018, ID: 1902948,QX4 ,5 200 $,2001,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Գազ,,,170000 կմ,Ավտոմատ,
Ford, Տեղադրված է՝  25.11.2018, ID: 1902918,Transit ,4 600 $,2002,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,2.0,Դիզել,,,128000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  25.11.2018, ID: 1902917,Transit ,4 600 $,2002,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,2.0,Դիզել,,,128000 կմ,Մեխանիկական,
Ford, Տեղադրված է՝  25.11.2018, ID: 1902913,Transit ,6 000 $,2005,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,2.4,Դիզել,,,157000 կմ,Մեխանիկական,
Honda, Տեղադրված է՝  25.11.2018, ID: 1902863,Elysion ,5 400 $,2007,"17""",Սպիտակ,5,Ունիվերսալ,,Ձախ,,AUTOMAT,Բենզին,3.0,Սպիտակ,180000 կմ,Ավտոմատ,Առջևի
Honda, Տեղադրված է՝  25.11.2018, ID: 1902832,Civic ,3 630 $,2003,,Արծաթագույն,,Սեդան,,Աջ,,,Գազ,,,145000 կմ,Ավտոմատ,
Honda, Տեղադրված է՝  25.11.2018, ID: 1902820,Elysion ,6 400 $,2007,"17""",Սև,5,Մինիվեն / Միկրոավտոբուս,160,Ձախ,,,Բենզին,2.4,Սև,100000 կմ,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  25.11.2018, ID: 1902806,Escape ,6 500 $,2005,,Արծաթագույն,,Ամենագնաց,,Ձախ,,30,Բենզին,,,107000 մղոն,Ավտոմատ,
Honda, Տեղադրված է՝  25.11.2018, ID: 1902803,Elysion ,5 000 $,2006,"17""",Սպիտակ,5,Մինիվեն / Միկրոավտոբուս,160,Ձախ,,,Բենզին,2.4,Սև,105000 կմ,Ավտոմատ,Առջևի
Infiniti, Տեղադրված է՝  25.11.2018, ID: 1902796,FX35 ,7 500 $,2006,"20""",Արծաթագույն,5,Ամենագնաց,,Ձախ,6,GERAZANC VICHAK 4x4,Բենզին,3.5,Սև,101000 մղոն,Ավտոմատ,Լիաքարշակ
Honda, Տեղադրված է՝  25.11.2018, ID: 1902793,Elysion ,6 900 $,2007,,Սև,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Prestige,Բենզին,2.4,Սև,103000 կմ,Ավտոմատ,Առջևի
Honda, Տեղադրված է՝  25.11.2018, ID: 1902751,Odyssey ,6 200 $,2007,"16""",Մոխրագույն,4,Մինիվեն / Միկրոավտոբուս,230,Ձախ,6,,Բենզին,3.5,Մոխրագույն,143000 կմ,Ավտոմատ,Առջևի
Ford, Տեղադրված է՝  25.11.2018, ID: 1902686,Fusion ,11 000 $,2014,"18""",Սև,4,Սեդան,180,Ձախ,,1.5 turbo,Բենզին,1.5,Սև,54000 մղոն,Ավտոմատ,Առջևի
Chrysler, Տեղադրված է՝  25.11.2018, ID: 1902662,PT Cruiser ,4 000 $,2005,,Արծաթագույն,,Սեդան,,Աջ,,,Գազ,,,89000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  24.11.2018, ID: 1902507,FX35 ,9 000 $,2006,"20""",Կապույտ,,Ամենագնաց,,Ձախ,,3.5,Բենզին,3.5,Բեժ,125000 կմ,Ավտոմատ,Ետևի
Honda, Տեղադրված է՝  24.11.2018, ID: 1902463,Elysion ,5 800 $,2006,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Բենզին,,,95000 կմ,Ավտոմատ,
Infiniti, Տեղադրված է՝  24.11.2018, ID: 1902447,FX35 ,11 000 $,2008,,Կապույտ,,Ամենագնաց,,Ձախ,,Vazq@ original 118000 reystaling,Բենզին,,,118000 կմ,Ավտոմատ,
