brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Volkswagen, Տեղադրված է՝  31.03.2019, ID: 2099585,Jetta ,3 700 $,2004,,Մոխրագույն,,Սեդան,,Ձախ,,2.0L,Գազ,,,242600 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099534,2170 Priora ,3 100 $,2008,,Մոխրագույն,,Սեդան,,Ձախ,,,Գազ,,,1000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099487,2121 ,4 900 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,80000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099439,2107 ,2 100 $,2009,"14""",Կանաչ,4,Սեդան,100,Ձախ,4,1.7,Գազ,1.7,Մոխրագույն,76000 կմ,Մեխանիկական,Ետևի
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099430,2172 Priora ,5 700 $,2014,,Սպիտակ,,Հետչբեք,,Ձախ,,,Գազ,,,65000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099429,2172 Priora ,5 700 $,2014,,Սպիտակ,,Հետչբեք,,Ձախ,,,Գազ,,,65000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  31.03.2019, ID: 2099368,Tiguan ,8 800 $,2010,,Սև,,Ունիվերսալ,,Ձախ,,,Բենզին,,,121000 մղոն,Ավտոմատ,
Suzuki, Տեղադրված է՝  31.03.2019, ID: 2099359,Kizashi ,6 400 $,2012,,Կապույտ,,Սեդան,,Ձախ,,,Բենզին,,,127000 մղոն,Ավտոմատ,
Volkswagen, Տեղադրված է՝  31.03.2019, ID: 2099295,Passat CC ,7 100 $,2009,,Մոխրագույն,,Սեդան,,Ձախ,,Panarama full,Բենզին,,,90000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  31.03.2019, ID: 2099284,2172 Priora ,3 800 $,2011,,Սև,,Հետչբեք,,Ձախ,,,Բենզին,,,120000 կմ,Մեխանիկական,
