brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Suzuki, Տեղադրված է՝  22.12.2018, ID: 1943023,SX 4 ,4 000 $,2008,,Երկնագույն,,Հետչբեք,,Ձախ,,,Բենզին,,,106000 մղոն,Ավտոմատ,
Porsche, Տեղադրված է՝  22.12.2018, ID: 1942975,Cayenne ,8 400 $,2005,,Սև,,Սեդան,,Ձախ,,S 4.5,Բենզին,,,100000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942950,2107 ,3 000 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,60000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942876,2107 ,2 600 $,2009,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,95000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  22.12.2018, ID: 1942801,Cayenne ,14 500 $,2008,,Սև,,Ամենագնաց,,Ձախ,,MADE IN GERMANI,Բենզին,,,105000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942457,2115 ,2 300 $,2006,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,207000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942309,2107 ,1 500 $,2005,,Սպիտակ,,Սեդան,,Ձախ,,-,Գազ,,,200000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  22.12.2018, ID: 1942257,Touareg ,7 700 $,2006,"17""",Արծաթագույն,4,Ամենագնաց,,Ձախ,6,3.2 CEPOV MATOR NOR BARVAC FULL,Բենզին,3.2,Մոխրագույն,117000 կմ,Ավտոմատ,Լիաքարշակ
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942244,2110 ,2 100 $,2001,,Արծաթագույն,,Սեդան,,Ձախ,,lada,Գազ,,,268000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  22.12.2018, ID: 1942086,Cayenne ,7 500 $,2004,,Կապույտ,,Ամենագնաց,,Ձախ,,S,Գազ,,,80000 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  22.12.2018, ID: 1942070,2107 ,2 850 $,2010,,Այլ գույն,,Սեդան,,Ձախ,,Заводской,Գազ,,,71000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  22.12.2018, ID: 1942058,Tiguan ,11 500 $,2012,"16""",Սպիտակ,4,Ամենագնաց,200,Ձախ,5,TSI-2.0 L,Բենզին,2.0,Սև,111000 կմ,Ավտոմատ,Առջևի
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1942023,2114 ,2 900 $,2007,,Սև,,Հետչբեք,,Ձախ,,,Գազ,,,185000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1942004,2114 ,2 400 $,2006,,Այլ գույն,,Սեդան,,Ձախ,,,Բենզին,,,100 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941989,2107 ,2 600 $,2010,,Սև,,Սեդան,,Ձախ,,,Գազ,,,1111 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941985,Jetta ,6 500 $,2009,,Մոխրագույն,,Սեդան,,Ձախ,,Jetta 2.5,Բենզին,,,164999 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941973,2114 ,3 000 $,2010,"13""",Սպիտակ,4,Հետչբեք,90,Ձախ,5,,Գազ,1.6,Սև,163000 կմ,Մեխանիկական,Առջևի
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941943,Passat ,5 300 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,135000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941925,21099 ,2 200 $,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Գազ,,,130000 կմ,Մեխանիկական,
Suzuki, Տեղադրված է՝  21.12.2018, ID: 1941901,SX 4 ,6 100 $,2012,,Սպիտակ,,Սեդան,,Ձախ,,2.0 sport,Բենզին,,,94770 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941895,2170 Priora ,3 900 $,2008,,Այլ գույն,,Սեդան,,Ձախ,,,Բենզին,,,162000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941841,2112 ,2 100 $,2007,,Արծաթագույն,,Հետչբեք,,Ձախ,,,Բենզին,,,174000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941532,21099 ,2 200 $,2001,,Արծաթագույն,,Սեդան,,Ձախ,,,Գազ,,,45320 կմ,Մեխանիկական,
Peugeot, Տեղադրված է՝  21.12.2018, ID: 1941502,407 ,7 500 $,2009,"17""",Սև,4,Սեդան,163,Ձախ,4,,Բենզին,2.2,Սև,60500 կմ,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941408,Golf ,3 700 $,2005,,Արծաթագույն,,Հետչբեք,,Ձախ,,Gordz. Dzax ruyl,Բենզին,,,101000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941404,Jetta ,5 700 $,2009,"16""",Կապույտ,5,Սեդան,170,Ձախ,5,SE 2.5 cepov mator,Գազ,2.5,Մոխրագույն,130000 կմ,Ավտոմատ,Առջևի
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941348,Granta ,3 600 $,2012,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,71000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941302,Passat ,2 000 $,2002,,Սև,,Սեդան,,Ձախ,,1.8T,Գազ,,,112000 կմ,Ավտոմատ,
Porsche, Տեղադրված է՝  21.12.2018, ID: 1941239,Cayenne ,32 900 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,4.8,Բենզին,,,130000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941225,Golf ,6 700 $,2008,,Կապույտ,,Կուպե,,Ձախ,,"1,4L TSI / 160HP",Բենզին,,,121000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941178,2170 Priora ,3 500 $,2010,,Սպիտակ,,Սեդան,,Ձախ,,Sedan,Բենզին,,,133000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941159,2170 Priora ,7 900 $,2018,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,1.8,,11111 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941154,2170 Priora ,3 800 $,2009,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,147000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  21.12.2018, ID: 1941148,21099 ,2 200 $,2003,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,140000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  21.12.2018, ID: 1941136,Touareg ,13 500 $,2007,"19""",Սև,4,Ամենագնաց,257,Ձախ,6,3.6,Բենզին,3.6,Սև,123000 կմ,Ավտոմատ,Լիաքարշակ
