brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Opel, Տեղադրված է՝  22.12.2018, ID: 1943014,Astra ,3 200 $,2001,"15""",Արծաթագույն,5,Հետչբեք,86,Ձախ,4,POLNI IJEKTOR,Բենզին,1.6,Սև,138000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  22.12.2018, ID: 1943007,Astra ,2 850 $,2000,,Բալագույն,5,Հետչբեք,75,Ձախ,4,99-2000 PRASTOY MATOR,Բենզին,1.6,Սև,138032 կմ,Մեխանիկական,Առջևի
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1943003,Grandis ,5 100 $,2006,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Բենզին,,,143000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1943002,IS 250 ,7 100 $,2006,,Սպիտակ,,Սեդան,,Ձախ,,IS 250,Բենզին,,,147000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942992,GX 470 ,17 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,MAQUR CARFAX 2008 restayl,Բենզին,,,102000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942991,GX 470 ,17 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,MAQUR CARFAX 2008 restayl,Բենզին,,,102000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942981,Forte ,6 000 $,2012,,Բեժ,,Սեդան,,Ձախ,,,Բենզին,,,100000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942969,GX 460 ,22 500 $,2011,"20""",Սև,5,Ամենագնաց,,Ձախ,8,Gerazanc vijak,Գազ,4.6,Բեժ,101000 մղոն,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942967,IS 250 ,11 800 $,2010,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,60000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942963,Sorento ,4 200 $,2004,,Սև,,Ունիվերսալ,,Ձախ,,SORENTO 4X4 2004-2003,Բենզին,,,170000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942959,Sorento ,5 000 $,2004,,Սև,4,Ամենագնաց,197,Ձախ,6,,Բենզին,3.5,Մոխրագույն,191000 կմ,Ավտոմատ,Ետևի
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942955,Airtrek ,5 800 $,2005,,Սև,,Ունիվերսալ,,Ձախ,,2.4,Գազ,,,100000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942943,Astra ,3 200 $,2000,,Սև,,Հետչբեք,,Ձախ,,,Բենզին,,,174000 կմ,Ավտոմատ,
Land Rover, Տեղադրված է՝  22.12.2018, ID: 1942940,Range Rover ,10 900 $,2004,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,100000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942931,Astra ,2 700 $,2000,,Կապույտ,,Ունիվերսալ,,Ձախ,,Opel astra G1.6prastoy,Բենզին,,,174000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942926,Optima ,5 000 $,2012,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,191000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942874,Astra ,2 800 $,2001,,Կարմիր,,Ունիվերսալ,,Ձախ,,Karavan,Բենզին,,,175000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942829,Signum ,3 600 $,2004,"17""",Սև,5,Հետչբեք,150,Ձախ,4,2.2 Direct,Բենզին,2.2,Սև,200000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  22.12.2018, ID: 1942824,Astra ,3 200 $,2002,,Կապույտ,,Ունիվերսալ,,Ձախ,,1.6 prastiy ijektor,Բենզին,,,119000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942789,IS 250 ,15 000 $,2011,,Սև,,Սեդան,,Ձախ,,F,Բենզին,,,62000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942781,RX 350 ,16 500 $,2010,,Սպիտակ,,Ամենագնաց,,Ձախ,,MAQUR CARFAX 2009-2010@,Բենզին,,,152000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942760,GX 470 ,15 500 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,Maqur 2006 tvakan,Բենզին,,,150000 մղոն,Ավտոմատ,
Niva, Տեղադրված է՝  22.12.2018, ID: 1942753,2121,3 800 $,2004,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Գազ,,,10000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942737,GX 470 ,16 700 $,2007,,Սև,,Ամենագնաց,,Ձախ,,Maqur 2007 tvakan,Բենզին,,,120000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942735,GX 460 ,27 800 $,2012,,Սպիտակ,,Ամենագնաց,,Ձախ,,NorBervac 2012-2011 SEV SALON,Բենզին,,,108000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942679,Optima ,7 850 $,2013,"16""",Շագանակագույն,4,Սեդան,,Ձախ,4,2013-2012 NOR BERVAC IDEALAKAN,Բենզին,2.4,Բեժ,109000 մղոն,Ավտոմատ,Առջևի
Mazda, Տեղադրված է՝  22.12.2018, ID: 1942618,Tribute ,4 500 $,2004,"16""",Սև,4,Ամենագնաց,150,Աջ,4,,Բենզին,2.3,Սև,200000 կմ,Ավտոմատ,Լիաքարշակ
Niva, Տեղադրված է՝  22.12.2018, ID: 1942613,2121,4 250 $,2008,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Գազ,,,103500 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942608,Zafira ,3 500 $,2001,,Սև,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,ELEGANCE LUK KONDICONER,Բենզին,,,157400 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942601,GX 460 ,28 400 $,2011,"18""",Սպիտակ,4,Ամենագնաց,296,Ձախ,8,CLEAN CARFAX TEXAS 2011-2010 TIV,Բենզին,4.6,Սև,130000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942575,GX 460 ,28 000 $,2011,"18""",Սև,4,Ամենագնաց,296,Ձախ,8,CLEAN CARFAX FLORIDA 2011-2010 T,Բենզին,4.6,Մոխրագույն,140000 կմ,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942554,Outlander ,4 800 $,2007,,Սև,,Ամենագնաց,,Ձախ,,4WD lock full,Բենզին,3,,147000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942520,GX 470 ,20 300 $,2008,"17""",Սպիտակ,4,Ունիվերսալ,273,Ձախ,8,ORIGINAL RESTAYLING !2009 MODEL,Բենզին,4.7,,124900 կմ,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942509,Airtrek ,4 450 $,2002,"16""",Սպիտակ,5,Ամենագնաց,,Ձախ,4,,Բենզին,2,Այլ գույն,102000 կմ,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942506,Pajero Pinin (IO) ,4 550 $,2006,"16""",Սև,5,Ամենագնաց,,Ձախ,4,,Բենզին,2,Այլ գույն,93000 կմ,Ավտոմատ,Լիաքարշակ
