brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Opel, Տեղադրված է՝  07.01.2019, ID: 1956164,Astra ,3 350 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Գազ,,,156000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  07.01.2019, ID: 1956159,Sorento ,4 600 $,2004,"16""",Արծաթագույն,4,Ամենագնաց,193,Ձախ,6,2005-2004 4×4,Բենզին,3.5,Մոխրագույն,146000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1956158,Zafira ,3 250 $,2001,"15""",Արծաթագույն,5,Ունիվերսալ,125,Ձախ,5,"ELEGANCE 1,8Z",Բենզին,1.8,Սև,240000 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  07.01.2019, ID: 1956155,Astra ,2 850 $,2000,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.6,Բենզին,,,148000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  07.01.2019, ID: 1956143,Forte ,5 900 $,2012,"16""",Արծաթագույն,5,Սեդան,156,Ձախ,4,2.0dach,Բենզին,2.0,Սև,120000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  07.01.2019, ID: 1956142,Forte ,5 900 $,2012,"16""",Արծաթագույն,5,Սեդան,156,Ձախ,4,2.0dach,Բենզին,2.0,Սև,120000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  07.01.2019, ID: 1956138,Sorento ,5 000 $,2003,,Ոսկեգույն,,Ամենագնաց,,Ձախ,,Kia Sorento 4×4 3.5i EX full,Բենզին,,,137000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1956134,Astra ,3 900 $,2002,,Արծաթագույն,,Հետչբեք,,Ձախ,,2.2 Sport,Բենզին,,,185000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1956132,LS 600h ,20 300 $,2010,,Սև,,Սեդան,,Ձախ,,Ottoman,Հիբրիդ,,,175000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  07.01.2019, ID: 1956127,Sorento ,6 000 $,2004,"16""",Արծաթագույն,5,Ունիվերսալ,195,Ձախ,6,EX EVROPA,Գազ,3.5,Մոխրագույն,125000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1956123,RX 350 ,9 700 $,2007,,Սպիտակ,,Ունիվերսալ,,Ձախ,,,Գազ,,,147 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1956118,Astra ,3 200 $,2000,,Սև,,Կուպե,,Ձախ,,1.6,Գազ,,,172000 մղոն,Մեխանիկական,
Opel, Տեղադրված է՝  07.01.2019, ID: 1956101,Astra ,2 500 $,2000,,Կապույտ,,Ունիվերսալ,,Ձախ,,ijektor prastoy 1.6 mator,Գազ,,,193000 կմ,Մեխանիկական,
Mitsubishi, Տեղադրված է՝  07.01.2019, ID: 1956100,Pajero Pinin (IO) ,1 600 $,2000,"16""",Արծաթագույն,3,Կուպե,130,Ձախ,4,jip,Գազ,1.8,Սև,200000 կմ,Ավտոմատ,Ետևի
Lexus, Տեղադրված է՝  07.01.2019, ID: 1956086,GS 300 ,10 000 $,2007,,Արծաթագույն,,Սեդան,,Ձախ,,Anteri vichak,Բենզին,,,133000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1956074,RX 300 ,5 600 $,2000,,Արծաթագույն,,Ամենագնաց,,Ձախ,,4x4 jeep,Գազ,,,158000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  07.01.2019, ID: 1956032,Sorento ,6 800 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Գազ,,,123 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  07.01.2019, ID: 1956027,Forte Coupe ,4 198 $,2010,,Նարնջագույն,,Կուպե,,Ձախ,,2.0 Full,Բենզին,,,132 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1956022,Zafira ,2 000 $,2003,,Արծաթագույն,,Հետչբեք,,Ձախ,,1.8,Բենզին,,,155000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1955987,GS 300 ,5 900 $,2006,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,170 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1955961,RX 350 ,9 700 $,2007,,Սպիտակ,,Ունիվերսալ,,Ձախ,,,Գազ,,,147 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  07.01.2019, ID: 1955942,Forte ,6 200 $,2011,"15""",Սպիտակ,5,Սեդան,156,Ձախ,4,EX,Բենզին,2.0,Սև,100000 մղոն,Ավտոմատ,Առջևի
Niva, Տեղադրված է՝  07.01.2019, ID: 1955941,4x4 Urban ,7 100 $,2016,,Մոխրագույն,,Ամենագնաց,,Ձախ,,,Գազ,1.7,Սև,28000 կմ,Մեխանիկական,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  07.01.2019, ID: 1955937,Chariot ,3 000 $,2000,"15""",Սև,5,Ունիվերսալ,145,Աջ,4,Chariot 2.4 GDI,Գազ,2.4,Բեժ,45000 կմ,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  07.01.2019, ID: 1955934,Zafira ,3 350 $,2003,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,1.8 Z MATOR,Բենզին,,,172000 կմ,Մեխանիկական,
Niva, Տեղադրված է՝  07.01.2019, ID: 1955921,2121 ,5 500 $,2012,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Գազ,,,64000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1955916,GX 470 ,15 000 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,Maqur 2006 tvakan,Բենզին,,,150000 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  07.01.2019, ID: 1955911,Sorento ,7 200 $,2008,,Երկնագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,148746 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1955907,GX 470 ,16 500 $,2007,,Սև,,Ամենագնաց,,Ձախ,,Maqur 2007 tvakan,Բենզին,,,120000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1955904,Astra ,3 550 $,2003,,Կապույտ,,Հետչբեք,,Ձախ,,1.6 Prastoy Injektor,Գազ,,Կապույտ,201000 կմ,Մեխանիկական,
Lexus, Տեղադրված է՝  07.01.2019, ID: 1955892,GX 470 ,14 400 $,2005,,Մոխրագույն,,Ամենագնաց,,Ձախ,,California,Բենզին,,,121000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  07.01.2019, ID: 1955889,Astra ,3 200 $,2002,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,125,Ձախ,,Elegans,Բենզին,1.8,Սև,228000 կմ,Մեխանիկական,
