brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
BMW, Տեղադրված է՝  20.01.2019, ID: 1974723,320 ,3 500 $,2003,,Սև,,Սեդան,,Ձախ,,,Գազ,,,120 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974722,S 350 ,7 600 $,2004,,Սպիտակ,,Սեդան,,Ձախ,,restyling,Գազ,,,115000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974720,X-Trail ,4 900 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,"FANARIKOV XEKY DZAX, 4BB GNAHATA",Բենզին,,,96000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974718,E 320 ,5 000 $,2000,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,166000 կմ,Կիսաավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974716,B 180 ,6 200 $,2010,,Սպիտակ,,Հետչբեք,,Ձախ,,,Բենզին,,,90000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974714,E 350 ,9 200 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,127000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974713,E 320 ,7 600 $,2004,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,108000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974711,S 550 ,13 500 $,2006,,Սև,,Սեդան,,Ձախ,,s550,Բենզին,,,111000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974708,CLS 350 ,10 800 $,2005,,Արծաթագույն,,Սեդան,,Ձախ,,Japan,Բենզին,,,158000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974707,Camry ,7 300 $,2008,"16""",Սպիտակ,4,Սեդան,156,Ձախ,4,Camry 2.4 LE,Գազ,2.4,Այլ գույն,150000 մղոն,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974706,C 200 ,5 400 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,hnaravor e mas mas,Գազ,,,157999 կմ,Ավտոմատ,
Audi, Տեղադրված է՝  20.01.2019, ID: 1974703,A6 ,4 200 $,2000,,Արծաթագույն,,Սեդան,,Աջ,,28,Բենզին,,,140000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974697,C 180 ,30 000 $,2014,"17""",Այլ գույն,5,Սեդան,156,Ձախ,4,,Բենզին,1.8,Սև,13000 կմ,Ավտոմատ,Ետևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974695,E 350 ,7 500 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,Mercedes-benz E350(zubil),Բենզին,,,165000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974692,E 320 ,8 350 $,2003,"16""",Արծաթագույն,4,Սեդան,,Ձախ,6,"Japan dzax xek,4x4",Բենզին,3.2,Սև,110000 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974690,A 170 ,3 650 $,2005,,Սպիտակ,,Հետչբեք,,Ձախ,,Nor meqenaya tarm,Բենզին,,,63000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974689,B 170 ,5 700 $,2009,,Սպիտակ,,Հետչբեք,,Փոխված աջից ձախ,,JAPAN,Բենզին,,,82000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974687,Teana ,4 000 $,2006,"16""",Այլ գույն,4,Սեդան,173,Ձախ,6,,Բենզին,2.3,Բեժ,37000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974683,B 170 ,6 500 $,2011,,Սև,,Հետչբեք,,Փոխված աջից ձախ,,JAPAN,Բենզին,,,89000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974682,Ipsum ,4 600 $,2005,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,Shat tarm vijak,Բենզին,,,74000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974680,Tiida ,3 800 $,2007,"15""",Սև,4,Հետչբեք,109,Ձախ,4,,Բենզին,1.5,Սև,98000 կմ,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974679,X-Trail ,5 000 $,2005,"17""",Սպիտակ,5,Ամենագնաց,150,Ձախ,4,Luserov full,Բենզին,2.0,Բեժ,91000 կմ,Ավտոմատ,Լիաքարշակ
BMW, Տեղադրված է՝  20.01.2019, ID: 1974678,318 ,4 800 $,2002,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,190 կմ,Մեխանիկական,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974677,318 ,4 800 $,2002,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,190 կմ,Մեխանիկական,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974676,318 ,4 800 $,2002,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,190 կմ,Մեխանիկական,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974675,X-Trail ,5 200 $,2006,,Մոխրագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,109000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974672,Camry ,11 500 $,2013,,Սպիտակ,,Սեդան,,Ձախ,,2.5,Բենզին,,,74000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974669,Alphard ,6 400 $,2005,,Սպիտակ,,Ունիվերսալ,,Ձախ,,Polni full 4x4 shtap,Բենզին,,,143000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974668,S 550 ,15 000 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,Long,Բենզին,,,180000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974667,S 550 ,15 000 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,Long,Բենզին,,,180000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974665,Camry ,9 600 $,2012,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,52000 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974661,Camry ,10 900 $,2012,,Սև,,Սեդան,,Աջ,,Anteri vichak 12/09,Բենզին,,,59000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974660,SL 500 ,8 500 $,2002,,Սպիտակ,,Կաբրիոլետ / Ռոդսթեր,,Ձախ,,,Բենզին,,,130000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974659,Noah ,3 700 $,2004,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,Shat shtap,Բենզին,,,83000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974657,X-Trail ,3 500 $,2002,"16""",Սպիտակ,,Ամենագնաց,,Փոխված աջից ձախ,,,Գազ,2.0,,155000 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974656,E 320 ,7 500 $,2003,"16""",Արծաթագույն,4,Սեդան,224,Ձախ,6,JAPAN AVANGARDE AUCTION 4BB,Բենզին,3.2,Սև,101000 կմ,Ավտոմատ,Ետևի
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974653,Sonata ,6 300 $,2010,,Արծաթագույն,,Սեդան,150,Ձախ,,LPG doch mator,Գազ,2.0,Սև,90000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974652,G 500 ,27 500 $,2003,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,5.0,Մոխրագույն,130000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974641,Sonata ,11 500 $,2015,,Սև,,Սեդան,,Ձախ,,Xpac chi maqur avtoya,Բենզին,,,75555 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974635,Xterra ,5 000 $,2004,,Արծաթագույն,,Ամենագնաց,,Ձախ,,Pagovi chka 4×4 Nor berac,Բենզին,,,133000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974633,Teana ,5 900 $,2009,,Սպիտակ,,Սեդան,,Ձախ,,Nor berac maqur 2009 tiv,Բենզին,,,147700 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974632,E 350 ,9 000 $,2007,,Սև,,Սեդան,,Ձախ,,350,Բենզին,,,124000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974631,E 350 ,9 000 $,2007,,Սև,,Սեդան,,Ձախ,,350,Բենզին,,,124000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974630,E 350 ,9 000 $,2007,,Սև,,Սեդան,,Ձախ,,350,Բենզին,,,124000 մղոն,Ավտոմատ,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974627,525 ,9 000 $,2006,"18""",Սև,4,Սեդան,218,Ձախ,6,,Բենզին,2.5,Սև,87000 կմ,Ավտոմատ,Ետևի
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974624,Sonata ,11 500 $,2015,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,Բեժ,36000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974619,C 200 ,5 400 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,hnaravor e mas mas,Գազ,,,158000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974617,Xterra ,2 500 000 ֏,2000,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,100000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974613,E 350 ,26 000 $,2014,,Այլ գույն,,Սեդան,,Ձախ,,,Բենզին,,,69000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974612,Sonata ,6 200 $,2011,,Սև,,Սեդան,,Ձախ,,SHAT TARM,Բենզին,,,78000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974610,328 ,5 500 $,2007,,Սև,,Սեդան,,Ձախ,,Meqenan 20 oric khasni hayastan,Բենզին,,,80000 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974609,Camry ,6 700 $,2010,,Սպիտակ,,Սեդան,,Ձախ,,"2,5 Mator",Գազ,,,118000 մղոն,Ավտոմատ,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974605,X5 ,8 400 $,2006,,Սև,,Ամենագնաց,,Ձախ,,4.4,Բենզին,,,80000 մղոն,Ավտոմատ,
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974602,Sonata ,5 950 $,2011,,Սև,,Սեդան,,Ձախ,,Նոր բերված գտնվում է գերազանց վի,Բենզին,,,88300 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974599,Juke ,9 800 $,2012,"17""",Սպիտակ,4,Ունիվերսալ,188,Ձախ,4,,Բենզին,1.6,Սև,95000 մղոն,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974595,Tiida ,4 100 $,2008,"17""",Սև,,Հետչբեք,110,Ձախ,,PRASTOY AVTOMAT,Բենզին,1.5,Սև,135000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974594,E 350 ,6 700 $,2006,,Արծաթագույն,,Սեդան,,Ձախ,,NOR BERVAC AMN FULL SHTAP,Բենզին,,,155000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974593,Camry ,7 500 $,2011,,Արծաթագույն,,Սեդան,,Ձախ,,LE 2.5,Բենզին,,,130000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974592,C 200 ,5 400 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,hnaravor e mas mas,Գազ,,,158000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974590,Viano ,11 000 $,2005,"16""",Մոխրագույն,5,Մինիվեն / Միկրոավտոբուս,216,Ձախ,6,3.2 mator 216 diauj,Բենզին,3.2,Մոխրագույն,150345 կմ,Ավտոմատ,Ետևի
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974587,X-Trail ,3 800 $,2004,,Սպիտակ,,Ամենագնաց,,Ձախ,,X-Trail,Գազ,,,135000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974580,CLK 320 ,4 500 $,2001,"17""",Արծաթագույն,3,Կուպե,218,Ձախ,6,,Գազ,3.2,Սև,190000 կմ,Ավտոմատ,Ետևի
Hyundai, Տեղադրված է՝  20.01.2019, ID: 1974579,Sonata ,7 700 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,2.4 Gls Limited 100/24,Բենզին,,,109000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974576,C 200 ,5 400 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,hnaravor e naev mas mas,Գազ,,,158000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974574,Camry ,11 400 $,2013,,Սև,,Սեդան,,Ձախ,,2013/05 idealakan! Sakarkeli!,Բենզին,,,59000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974570,E 320 ,7 500 $,2002,,Արծաթագույն,5,Սեդան,,Ձախ,,,Բենզին,3.2,,114000 կմ,Ավտոմատ,Ետևի
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974559,C 200 ,5 400 $,2000,,Սպիտակ,,Սեդան,,Ձախ,,"Japan 1,4 ij. Gaz",Գազ,,,158000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974555,Tiida ,3 400 $,2005,,Սպիտակ,,Հետչբեք,,Աջ,,,Գազ,,,160000 կմ,Վարիատոր,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974551,CLS 350 ,11 400 $,2005,"19""",Սպիտակ,4,Կուպե,272,Ձախ,6,JAPAN TYUNING 4BB,Բենզին,3.5,Սև,87600 կմ,Ավտոմատ,Ետևի
BMW, Տեղադրված է՝  20.01.2019, ID: 1974549,750 ,21 000 $,2011,,Սև,,Սեդան,,Ձախ,,750LI,Բենզին,,,56000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974544,C 300 ,8 400 €,2007,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,100009 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  20.01.2019, ID: 1974541,Land Cruiser 100 ,22 000 $,2007,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,115000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974539,318 ,4 600 $,2003,,Արծաթագույն,,Սեդան,,Ձախ,,Sport,Բենզին,,,89000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  20.01.2019, ID: 1974528,E 350 ,9 000 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,Avangart full,Բենզին,,,185000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  20.01.2019, ID: 1974526,328 ,9 500 $,2009,,Մոխրագույն,,Սեդան,,Ձախ,,328i reistailing,Բենզին,,,26762 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  20.01.2019, ID: 1974523,Versa ,4 000 $,2007,,Այլ գույն,,Սեդան,,Ձախ,,,Բենզին,,,150000 կմ,Ավտոմատ,
