brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974717,Touareg ,7 700 $,2008,,Մոխրագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,92000 կմ,Ավտոմատ,
Subaru, Տեղադրված է՝  20.01.2019, ID: 1974688,Outback ,5 500 $,2004,,Արծաթագույն,,Ամենագնաց,,Աջ,,,Գազ,,,145000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974608,Touareg ,7 600 $,2006,"17""",Արծաթագույն,4,Ամենագնաց,,Ձախ,6,3.2 CEPOV MATOR NOR BERVAC FULL,Բենզին,3.2,Մոխրագույն,117000 մղոն,Ավտոմատ,Լիաքարշակ
Suzuki, Տեղադրված է՝  20.01.2019, ID: 1974601,Kizashi ,6 700 $,2010,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,117000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974597,Phaeton ,17 000 $,2010,,Սև,,Սեդան,,Ձախ,,4.2,Բենզին,,,130000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974585,Golf ,4 700 $,2006,,Կարմիր,,Հետչբեք,,Ձախ,,Golf GT,Բենզին,,,177000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974466,Polo ,3 700 $,2002,"15""",Սպիտակ,5,Սեդան,75/90,Ձախ,4,1.4,Գազ,1.4,Սև,182000 կմ,Ավտոմատ,Առջևի
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974435,2115 ,2 300 $,2005,,Այլ գույն,,Սեդան,77,Ձախ,4,,Գազ,1.5,,150000 կմ,Մեխանիկական,Առջևի
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974434,2106 ,3 300 $,2003,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,25 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974414,2107 ,1 700 $,2005,,Կապույտ,,Սեդան,,Ձախ,,,Բենզին,,,14000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974408,Passat ,2 300 $,2000,,Կապույտ,,Սեդան,,Ձախ,,1.8 turbo,Բենզին,,,279000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974392,2170 Priora ,4 100 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,160000 կմ,Մեխանիկական,
Subaru, Տեղադրված է՝  20.01.2019, ID: 1974368,Legacy ,2 800 $,2001,"17""",Արծաթագույն,,Սեդան,260,Աջ,4,B4,Գազ,,,170000 կմ,Ավտոմատ,Լիաքարշակ
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974348,2106 ,1 850 $,2005,"13""",Սպիտակ,4,Սեդան,80,Ձախ,4,,Գազ,1.5,Սև,141000 կմ,Մեխանիկական,Ետևի
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974342,2110 ,500 000 ֏,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,111111 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974341,2110 ,500 000 ֏,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,111111 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974340,2110 ,500 000 ֏,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,111111 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974339,2110 ,500 000 ֏,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,111111 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974338,2110 ,500 000 ֏,2001,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,111111 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  20.01.2019, ID: 1974317,Cayenne ,24 700 $,2011,"20""",Սպիտակ,4,Ամենագնաց,300,Ձախ,6,XPAT PCHAT TEX CHUNI.,Բենզին,3.6,Բեժ,107000 կմ,Ավտոմատ,Լիաքարշակ
Subaru, Տեղադրված է՝  20.01.2019, ID: 1974275,Legacy ,5 150 $,2006,"17""",Կապույտ,4,Սեդան,180,Աջ,4,B-SPORT,Գազ,2.0,Սև,122000 կմ,Ավտոմատ,Լիաքարշակ
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974241,2110 ,1 900 $,2003,,Կանաչ,,Սեդան,,Ձախ,,,Գազ,,,190000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  20.01.2019, ID: 1974164,Cayenne ,13 500 $,2009,,Սև,,Ամենագնաց,,Ձախ,,4.8S,Բենզին,,,164000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974151,New Beetle ,3 300 $,2000,"16""",Արծաթագույն,3,Կուպե,,Ձախ,,2.0,Գազ,2.0,Սև,170000 կմ,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974148,Jetta ,3 000 $,2003,"16""",Արծաթագույն,4,Սեդան,117,Ձախ,4,Avh 2.0,Բենզին,2.0,Սև,147000 մղոն,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  20.01.2019, ID: 1974147,Tiguan ,9 900 $,2013,"16""",Սև,,Ամենագնաց,,Ձախ,4,2.0 TSI Restyling) SPORT UTILITY,Բենզին,2.0,Սև,103000 կմ,Ավտոմատ,Առջևի
Suzuki, Տեղադրված է՝  20.01.2019, ID: 1974146,SX 4 ,5 500 $,2011,,Կարմիր,,Սեդան,,Ձախ,,,Բենզին,,,94000 մղոն,Ավտոմատ,
Suzuki, Տեղադրված է՝  20.01.2019, ID: 1974144,XL-7 ,5 900 $,2007,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,180000 մղոն,Ավտոմատ,
Suzuki, Տեղադրված է՝  20.01.2019, ID: 1974143,XL-7 ,5 900 $,2007,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,180000 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974135,2112 ,2 200 $,2006,,Մոխրագույն,,Հետչբեք,,Ձախ,,m,Գազ,,,205000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  20.01.2019, ID: 1974125,2112 ,2 200 $,2006,,Այլ գույն,,Սեդան,,Ձախ,,,Գազ,,,205000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1974064,2121 ,5 600 $,2013,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,80000 կմ,Մեխանիկական,
Subaru, Տեղադրված է՝  19.01.2019, ID: 1974059,Legacy ,3 200 $,2002,,Արծաթագույն,,Սեդան,,Աջ,,,Բենզին,,,93000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1974015,2170 Priora ,3 000 $,2007,"14""",Սև,,Սեդան,,Ձախ,4,,Գազ,1.6,Սպիտակ,320000 կմ,Մեխանիկական,Առջևի
Suzuki, Տեղադրված է՝  19.01.2019, ID: 1974004,SX 4 ,3 300 $,2008,,Կարմիր,,Սեդան,,Ձախ,,,Բենզին,,,132181 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973960,21099 ,2 400 $,2004,"13""",Արծաթագույն,4,Սեդան,80,Ձախ,4,,Գազ,1.6,Սև,189000 կմ,Մեխանիկական,Առջևի
Porsche, Տեղադրված է՝  19.01.2019, ID: 1973959,Cayenne ,8 800 $,2003,,Սև,,Ամենագնաց,,Ձախ,,,Գազ,,,260000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973941,Touareg ,5 100 $,2003,,Ոսկեգույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,250000 կմ,Ավտոմատ,
Porsche, Տեղադրված է՝  19.01.2019, ID: 1973935,Cayenne ,8 400 $,2005,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,200000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973926,2107 ,2 100 $,2003,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,150000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  19.01.2019, ID: 1973856,Cayenne ,10 300 $,2006,,Սև,,Ամենագնաց,,Ձախ,,Pnevmo chi,Բենզին,,,140000 մղոն,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973831,Touareg ,9 400 $,2008,"17""",Սև,5,Ամենագնաց,,Ձախ,6,"2008, 3,6 CEPOV MATOR",Բենզին,3.6,Սև,180000 կմ,Ավտոմատ,Ետևի
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973816,2121 ,3 200 $,2005,,Սպիտակ,,Կուպե,,Ձախ,,,Գազ,,,19000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973803,2105 ,2 400 $,2008,,Այլ գույն,,Սեդան,,Ձախ,,xxx,Բենզին,,,45859 կմ,Մեխանիկական,
Suzuki, Տեղադրված է՝  19.01.2019, ID: 1973802,Kizashi ,6 700 $,2011,,Մոխրագույն,,Սեդան,,Ձախ,,2.4 i,Բենզին,,,70000 մղոն,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973798,Touareg ,8 000 $,2005,"19""",Սպիտակ,5,Ունիվերսալ,310,Ձախ,8,,Գազ,4.2,Շագանակագույն,190000 կմ,Ավտոմատ,Լիաքարշակ
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973796,Touareg ,8 000 $,2005,"19""",Սպիտակ,5,Ունիվերսալ,310,Ձախ,8,,Գազ,4.2,Շագանակագույն,190000 կմ,Ավտոմատ,Լիաքարշակ
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973790,Jetta ,3 600 $,2003,,Մոխրագույն,,Սեդան,,Ձախ,,GLS 1.8T,Գազ,,,186000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973755,2106 ,2 200 $,2002,,Կապույտ,,Սեդան,,Ձախ,,,Գազ,,,102000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973706,Passat ,7 500 $,2006,"17""",Արծաթագույն,4,Սեդան,250,Ձախ,6,JAPAN 3.2L 4x4 250 Dziauj,Բենզին,3.2,Սև,102000 կմ,Կիսաավտոմատ,Լիաքարշակ
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973677,Tiguan ,8 300 $,2009,"17""",Սպիտակ,4,Ամենագնաց,,Ձախ,4,"Nor bervac, anteri",Բենզին,2.0,Սև,77000 կմ,Ավտոմատ,Լիաքարշակ
Suzuki, Տեղադրված է՝  19.01.2019, ID: 1973667,SX 4 ,5 500 $,2011,,Սև,,Հետչբեք,,Ձախ,,ZAVACKOY DZAX,Բենզին,,,116000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973654,Jetta ,4 000 $,2006,"16""",Մոխրագույն,4,Սեդան,150,Ձախ,5,"2.5 mator, 2 gaz",Գազ,2.5,Մոխրագույն,170000 կմ,Ավտոմատ,Առջևի
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973647,2110 ,2 500 $,2005,"14""",Սև,4,Սեդան,89,Ձախ,4,Shtap sakarkeli,Գազ,1.6,Սև,150000 կմ,Մեխանիկական,Առջևի
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973569,2115 ,2 600 $,2009,,Սև,,Սեդան,,Ձախ,,Vaz 2115,Բենզին,,,184000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1973554,2114 ,2 600 $,2007,,Կանաչ,,Հետչբեք,,Ձախ,,1.6,Գազ,,,100 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973491,Tiguan ,10 500 $,2008,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,150000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1973293,Golf ,3 500 $,2003,"15""",Սպիտակ,5,Հետչբեք,115,Փոխված աջից ձախ,4,4,Գազ,2.0,Սև,110000 կմ,Ավտոմատ,Առջևի
Porsche, Տեղադրված է՝  19.01.2019, ID: 1973052,Cayenne ,12 700 $,2008,"19""",Արծաթագույն,4,Ունիվերսալ,,Ձախ,8,Sport 4.8,Բենզին,4.8,Սև,124000 կմ,Ավտոմատ,Լիաքարշակ
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1972935,Tiguan ,8 400 $,2009,"18""",Մոխրագույն,5,Ամենագնաց,200,Ձախ,4,TSI-/-2.0L,Բենզին,2.0,Բեժ,69000 կմ,Ավտոմատ,Լիաքարշակ
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1972911,2107 ,1 500 $,2007,,Սպիտակ,,Սեդան,,Ձախ,,,Գազ,,,75000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1972886,2115 ,2 100 $,2004,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,,Գազ,,,170000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  19.01.2019, ID: 1972869,Cayenne ,9 200 $,2006,,Սև,,Ամենագնաց,,Ձախ,,Nor bervac 3.2 mator 2006-2005t,Գազ,,,148000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1972768,Transporter ,4 500 $,2007,,Կապույտ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,T-5,Գազ,,,400000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  19.01.2019, ID: 1972722,2114 ,2 700 $,2010,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,200000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1972603,New Beetle ,3 000 $,2000,,Կարմիր,,Սեդան,,Ձախ,,,Բենզին,,,150000 կմ,Ավտոմատ,
Porsche, Տեղադրված է՝  19.01.2019, ID: 1972568,Cayenne ,10 500 $,2008,,Արծաթագույն,,Ամենագնաց,,Ձախ,6,,Բենզին,3.6,Սև,155000 կմ,Ավտոմատ,Լիաքարշակ
Volkswagen, Տեղադրված է՝  19.01.2019, ID: 1972538,Golf ,2 900 $,2002,,Արծաթագույն,,Սեդան,,Ձախ,,Golf4,Բենզին,,,156000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1972488,Touareg ,11 500 $,2010,,Մոխրագույն,,Ամենագնաց,,Ձախ,,3.6i,Բենզին,,,100000 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1972450,2110 ,2 200 $,2003,,Կանաչ,,Սեդան,,Ձախ,,,Գազ,,,153000 կմ,Մեխանիկական,
Peugeot, Տեղադրված է՝  18.01.2019, ID: 1972449,Partner ,6 500 $,2011,,Սպիտակ,,Ֆուրգոն,,Ձախ,,Sarnaran meqena.refrezhator,Գազ,1.4,,200000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1972417,Jetta ,3 200 $,2003,"16""",Արծաթագույն,4,Սեդան,150,Ձախ,4,1.8T,Գազ,1.8,Սև,205000 կմ,Մեխանիկական,Առջևի
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1972408,2170 Priora ,4 100 $,2011,,Սև,,Սեդան,,Ձախ,,2011-2012,Գազ,,,150000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1972327,2170 Priora ,2 000 $,2008,,Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,,,1111 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1972315,Jetta ,8 200 $,2011,,Սև,,Սեդան,,Ձախ,,,Գազ,,,32 կմ,Ավտոմատ,
Suzuki, Տեղադրված է՝  18.01.2019, ID: 1972311,Grand Vitara ,13 000 $,2011,,Սպիտակ,,Ամենագնաց,,Ձախ,,2.4,Բենզին,,,65000 մղոն,Ավտոմատ,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1972305,Jetta ,5 800 $,2010,"16""",Արծաթագույն,,Սեդան,170,Ձախ,5,2.5 AT,Բենզին,2.5,Մոխրագույն,95000 մղոն,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1972261,Golf ,3 300 $,2000,"15""",Արծաթագույն,4,Հետչբեք,105,Ձախ,4,1.6 S.R Shtap !,Գազ,1.6,Սև,174500 կմ,Ավտոմատ,Առջևի
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1972243,2110 ,1 800 $,2004,,Արծաթագույն,,Սեդան,,Ձախ,,2110,Գազ,,,220000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971980,Jetta ,3 500 $,2001,,Սև,,Սեդան,,Ձախ,,2.0I,Բենզին,,,160000 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1971964,2112 ,2 100 $,2003,"13""",Արծաթագույն,5,Հետչբեք,77,Ձախ,,,Գազ,1.5,Մոխրագույն,200000 կմ,Մեխանիկական,Առջևի
VAZ(Lada), Տեղադրված է՝  18.01.2019, ID: 1971954,2170 Priora ,4 200 $,2011,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,110000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971889,Passat ,9 300 $,2012,"17""",Սև,4,Սեդան,175,Ձախ,5,FULL 11.2011,Բենզին,2.5,Բեժ,91000 կմ,Ավտոմատ,Առջևի
Peugeot, Տեղադրված է՝  18.01.2019, ID: 1971694,206 ,2 500 $,2008,,Սև,5,Սեդան,75,Ձախ,4,1.4,Գազ,1.4,Մոխրագույն,125000 կմ,Մեխանիկական,Առջևի
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971567,Caddy ,7 800 $,2011,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,1.6 L Prastoy mator,Բենզին,,,240000 կմ,Մեխանիկական,
Subaru, Տեղադրված է՝  18.01.2019, ID: 1971371,Legacy ,4 000 $,2004,,Սև,,Սեդան,,Աջ,,20,Բենզին,,,200000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971368,Passat ,8 800 $,2012,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,145000 կմ,Ավտոմատ,
Suzuki, Տեղադրված է՝  18.01.2019, ID: 1971238,Swift ,5 000 $,2008,,Սև,,Հետչբեք,,Աջ,,1.2,Բենզին,,,80000 կմ,Վարիատոր,
Porsche, Տեղադրված է՝  18.01.2019, ID: 1971237,Cayenne ,12 000 $,2006,,Սև,,Ամենագնաց,,Ձախ,,7hakka,Բենզին,,,150000 մղոն,Ավտոմատ,
Porsche, Տեղադրված է՝  18.01.2019, ID: 1971046,Cayenne ,15 000 $,2008,,Շագանակագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,185000 կմ,Ավտոմատ,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971041,Caddy ,2 500 $,2004,,Սպիտակ,,Ֆուրգոն,,Ձախ,,,Գազ,,,335000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  18.01.2019, ID: 1971034,Passat ,13 000 $,2012,,Արծաթագույն,,Սեդան,,Ձախ,,se,Բենզին,,,60000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1971017,21099 ,2 900 $,2001,,Այլ գույն,,Սեդան,,Ձախ,,1.6 16,Գազ,,,140000 կմ,Մեխանիկական,
Volkswagen, Տեղադրված է՝  17.01.2019, ID: 1971012,Jetta ,2 900 $,2002,"15""",Սև,4,Սեդան,115,Ձախ,4,Jetta 2.0,Գազ,2.0,Սև,186000 մղոն,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  17.01.2019, ID: 1971006,Jetta ,4 700 $,2008,"16""",Սև,4,Սեդան,170,Ձախ,5,Jetta Se 2.5,Բենզին,2.5,Բեժ,156000 մղոն,Ավտոմատ,Առջևի
Volkswagen, Տեղադրված է՝  17.01.2019, ID: 1970987,Touareg ,12 300 $,2008,,Սև,,Ամենագնաց,,Ձախ,,3.6,Բենզին,,,121000 կմ,Ավտոմատ,
Porsche, Տեղադրված է՝  17.01.2019, ID: 1970983,Cayenne ,13 800 $,2007,,Սև,,Ամենագնաց,,Ձախ,,4.8,Բենզին,,,150000 կմ,Ավտոմատ,
Suzuki, Տեղադրված է՝  17.01.2019, ID: 1970980,Kizashi ,4 500 $,2010,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,71000 մղոն,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970958,2107 ,2 300 $,2012,"13""",Սև,4,Սեդան,75,Ձախ,4,2012թ,Գազ,1.6,Սև,80000 կմ,Մեխանիկական,Ետևի
Suzuki, Տեղադրված է՝  17.01.2019, ID: 1970953,SX 4 ,4 900 $,2008,,Արծաթագույն,,Սեդան,,Ձախ,,sport,Բենզին,,,152000 կմ,Ավտոմատ,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970866,2107 ,2 300 $,2005,,Սպիտակ,4,Սեդան,,Ձախ,,,Գազ,,Սև,50000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970825,2170 Priora ,3 500 $,2008,,Կապույտ,,Սեդան,,Ձախ,,,Բենզին,,,198000 կմ,Մեխանիկական,
Skoda, Տեղադրված է՝  17.01.2019, ID: 1970717,Octavia ,4 700 $,2006,,Սև,,Հետչբեք,,Ձախ,,2.0 FSI,Բենզին,,,240000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970579,2170 Priora ,3 500 $,2009,,Սև,,Սեդան,,Ձախ,,,Գազ,,,175000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970353,2107 ,1 800 $,2008,,Բալագույն,,Սեդան,,Ձախ,,,Գազ,,,100000 կմ,Մեխանիկական,
VAZ(Lada), Տեղադրված է՝  17.01.2019, ID: 1970232,2114 ,1 152 000 ֏,2007,,Մոխրագույն,,Հետչբեք,,Ձախ,,,Բենզին,,,150000 կմ,Մեխանիկական,
Porsche, Տեղադրված է՝  17.01.2019, ID: 1969820,Cayenne ,12 000 $,2004,"19""",Սև,5,Ամենագնաց,340,Ձախ,8,4.5 S HEXUK GAZ,Բենզին,4.5,Սև,174000 կմ,Ավտոմատ,Լիաքարշակ
