brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Kia, Տեղադրված է՝  18.03.2019, ID: 2075543,Cerato ,6 800 $,2012,"17""",Արծաթագույն,2,Կուպե,124,Ձախ,4,Cerato koup 1.6,Բենզին,1.6,Սև,100000 կմ,Ավտոմատ,Առջևի
Lexus, Տեղադրված է՝  18.03.2019, ID: 2075539,GX 470 ,11 700 $,2003,,Արծաթագույն,,Ամենագնաց,,Ձախ,,"Shtap, sakarkeli",Գազ,,Սև,170000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  18.03.2019, ID: 2075531,GX 460 ,46 500 $,2016,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,27000 մղոն,Կիսաավտոմատ,
Opel, Տեղադրված է՝  17.03.2019, ID: 2075518,Astra ,3 500 $,2003,"16""",Կապույտ,5,Հետչբեք,75,Ձախ,4,Prastoy,Բենզին,1.6,Սև,105000 կմ,Մեխանիկական,Առջևի
Kia, Տեղադրված է՝  17.03.2019, ID: 2075506,Forte ,5 600 $,2010,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,130000 կմ,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075504,Colt ,1 250 000 ֏,2003,,Սև,,Հետչբեք,,Աջ,,Z25A,Գազ,,,130 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075500,LS 430 ,7 800 $,2004,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,10 կմ,Ավտոմատ,
Mazda, Տեղադրված է՝  17.03.2019, ID: 2075490,3 ,3 990 $,2006,,Կարմիր,,Սեդան,,Ձախ,,,Բենզին,,,85000 կմ,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075486,GX 470 ,17 500 $,2007,"17""",Սև,4,Ունիվերսալ,263,Ձախ,8,2009 RESTAYLING ! V V i-T MATOR,Բենզին,4.7,Բեժ,154000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075478,LX 570 ,38 000 $,2008,"18""",Բալագույն,5,Ամենագնաց,381,Ձախ,8,Փոխ GX460 ի հետ,Բենզին,5.7,Բեժ,105000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075475,GX 470 ,14 900 $,2007,,Արծաթագույն,,Ամենագնաց,,Ձախ,,NorBervats2007 Nord Carolina,Բենզին,,,130000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075472,GX 470 ,17 900 $,2006,"17""",Սպիտակ,4,Ունիվերսալ,263,Ձախ,8,MAQUR MEQENAYA ARANC VTARI !!!,Բենզին,4.7,Սև,148000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075462,GX 470 ,23 500 $,2009,"17""",Սև,4,Ունիվերսալ,273,Ձախ,8,AMENNA FULL KOMPLEKTACYA !,Բենզին,4.7,,62500 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  17.03.2019, ID: 2075454,Forte ,5 600 $,2011,"15""",Սև,,Հետչբեք,156,Ձախ,4,,Բենզին,2.0,,72000 կմ,Ավտոմատ,Առջևի
Niva, Տեղադրված է՝  17.03.2019, ID: 2075431,4x4 Urban ,6 500 $,2015,,Սպիտակ,,Կուպե,,Ձախ,,,Բենզին,,,72000 կմ,Մեխանիկական,
Niva, Տեղադրված է՝  17.03.2019, ID: 2075422,2121 ,3 200 $,2005,,Սպիտակ,,Կուպե,,Ձախ,,1.7i,Գազ,,,180000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  17.03.2019, ID: 2075421,Optima ,9 700 $,2013,,Սև,,Սեդան,,Ձախ,,Full Panorama,Բենզին,,,65000 մղոն,Ավտոմատ,
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075418,Pajero ,8 500 $,2006,,Մոխրագույն,,Ամենագնաց,235,Ձախ,,,Բենզին,3.8,Մոխրագույն,148000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075415,GX 470 ,15 700 $,2006,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,120000 մղոն,Ավտոմատ,
Lexus, Տեղադրված է՝  17.03.2019, ID: 2075414,GX 470 ,10 800 $,2005,,Արծաթագույն,4,Պիկապ,,Ձախ,,"4WD Pick Up,Նոր է բերված",Բենզին,3.5,,140000 կմ,Ավտոմատ,Լիաքարշակ
Mitsubishi, Տեղադրված է՝  17.03.2019, ID: 2075413,Outlander ,8 300 $,2010,,Սպիտակ,,Ամենագնաց,,Ձախ,,,Բենզին,,,110000 մղոն,Ավտոմատ,
