brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858489,Teana ,3 550 $,2003,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,150000 կմ,Մեխանիկական,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858487,Note ,2 500 $,2005,,Արծաթագույն,,Սեդան,,Աջ,,1.5 mator gaz,Գազ,,,125000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858474,Ipsum ,4 500 $,2004,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,2.4 mator,Բենզին,,,71000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  24.10.2018, ID: 1858473,Sonata ,6 500 $,2013,,Այլ գույն,,Սեդան,,Ձախ,,NOR BERVAC XPAC EV JRI TAKI CHE,Բենզին,,,104000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  24.10.2018, ID: 1858470,325 ,7 300 $,2006,"18""",Սև,5,Սեդան,204,Ձախ,6,М ПАКЕТ ЯПОНИЯ завадской дзах ру,Բենզին,2.5,Սև,110000 կմ,Կիսաավտոմատ,Ետևի
BMW, Տեղադրված է՝  24.10.2018, ID: 1858469,323 ,7 700 $,2005,,Սպիտակ,,Սեդան,,Ձախ,,2.3 mator,Բենզին,,,71000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  24.10.2018, ID: 1858468,Sonata ,6 900 $,2012,,Արծաթագույն,,Սեդան,150,Ձախ,,LPG,Գազ,2.0,Սև,60000 կմ,Ավտոմատ,Առջևի
Chevrolet, Տեղադրված է՝  24.10.2018, ID: 1858467,Camaro ,15 800 $,2013,,Այլ գույն,,Կուպե,,Ձախ,,3.6 RS sport,Բենզին,,,41700 մղոն,Ավտոմատ,
Hyundai, Տեղադրված է՝  24.10.2018, ID: 1858462,Sonata ,10 500 $,2014,,Մոխրագույն,,Սեդան,,Ձախ,,2.4,Բենզին,,,34000 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858461,Camry ,10 800 $,2012,,Արծաթագույն,,Սեդան,,Ձախ,,2.5sport gaz,Գազ,,,123000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858460,B 170 ,5 000 $,2008,,Արծաթագույն,,Ունիվերսալ,,Ձախ,,,Բենզին,,,131965 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858459,Teana ,4 200 $,2007,,Սև,,Սեդան,,Ձախ,,,Բենզին,2.3,,55000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858456,S 320 ,6 900 $,2001,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,980000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858455,Land Cruiser Prado ,35 500 $,2014,,Սև,,Ունիվերսալ,,Ձախ,,,Բենզին,,,70000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  24.10.2018, ID: 1858453,X6 ,21 000 $,2010,,Սև,,Ամենագնաց,,Ձախ,,3.5 biturbo,Բենզին,3.5,Սև,160000 կմ,Կիսաավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858452,Camry ,6 900 $,2009,"17""",Մոխրագույն,,Սեդան,,Ձախ,,VACHARVUM E SHAT SHTAAP KOJSALON,Բենզին,2.4,Մոխրագույն,151000 մղոն,Ավտոմատ,
BMW, Տեղադրված է՝  24.10.2018, ID: 1858451,X5 ,11 000 $,2008,,Կապույտ,,Ամենագնաց,,Ձախ,6,NORBERVAC MAQUR 2008TIV SHTAAP,Բենզին,3.0,Բեժ,123000 մղոն,Ավտոմատ,Լիաքարշակ
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858449,Tiida ,4 200 $,2008,,Սպիտակ,,Սեդան,,Ձախ,,1.6 prastoy karobka,Բենզին,,,10100 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858440,X-Trail ,5 500 $,2006,,Արծաթագույն,,Ամենագնաց,,Ձախ,,"FANARIKOV XEKY DZAX, 4BB GNAHATA",Բենզին,,,93000 կմ,Ավտոմատ,
BMW, Տեղադրված է՝  24.10.2018, ID: 1858439,X5 ,12 500 $,2008,"20""",Արծաթագույն,5,Ամենագնաց,,Ձախ,6,GERAZANC VICHAK,Բենզին,3.0,Սև,131000 մղոն,Ավտոմատ,Լիաքարշակ
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858426,Tiida ,3 800 $,2006,,Սև,,Սեդան,,Ձախ,,1.6 prastoy karobka,Բենզին,,,46000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858425,C 240 ,5 300 $,2001,"16""",Սպիտակ,4,Սեդան,170,Ձախ,6,IDEALAKAN VICHAK,Գազ,2.4,Բեժ,195000 կմ,Ավտոմատ,Ետևի
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858423,S 550 ,15 900 $,2007,,Արծաթագույն,,Սեդան,,Ձախ,,LONG JAPAN,Բենզին,,,51000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858422,B 170 ,6 000 $,2006,,Սպիտակ,,Ունիվերսալ,,Ձախ,,,Բենզին,,,100000 կմ,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858421,B 170 ,6 000 $,2006,,Սպիտակ,,Ունիվերսալ,,Ձախ,,,Բենզին,,,100000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858420,Camry ,9 000 $,2011,"17""",Սև,4,Սեդան,180,Ձախ,4,Camry 2.5se,Բենզին,2.5,Սև,92800 կմ,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858417,Land Cruiser Prado ,31 800 $,2015,,Սպիտակ,,Ամենագնաց,,Ձախ,,2.7,Բենզին,,,38000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858415,Camry ,9 800 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,2.5 vvti,Բենզին,,,112000 մղոն,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858410,Prius ,4 900 $,2005,,Սպիտակ,,Սեդան,,Աջ,,JAPAN,Հիբրիդ,,,84000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858405,X-Trail ,7 300 $,2008,"17""",Մոխրագույն,,Ամենագնաց,137,Աջ,,TUNING 4X4,Գազ,2.0,Սև,147500 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858403,C 320 ,3 200 $,2000,,Սև,,Սեդան,,Ձախ,,,Գազ,,,232000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858399,X-Trail ,7 000 $,2007,,Այլ գույն,,Ամենագնաց,,Ձախ,,2.0 4x4,Բենզին,,,150000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858397,4-Runner ,9 900 $,2004,"17""",Մոխրագույն,5,Ամենագնաց,238,Ձախ,8,4x4 Sport Edition,Բենզին,4.7,Մոխրագույն,123000 մղոն,Ավտոմատ,Լիաքարշակ
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858395,Corolla ,11 900 $,2014,,Սպիտակ,,Սեդան,,Ձախ,,Gnvel e toyota terevan avtosrahi,Բենզին,,,69000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858393,Camry ,12 000 $,2013,"17""",Կապույտ,4,Սեդան,,Ձախ,4,TOYOTA CAMRY SE,Բենզին,2.5,Սև,89000 կմ,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858381,Alphard ,6 200 $,2003,"16""",Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,4,,Բենզին,2.4,Բեժ,130000 կմ,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858371,Land Cruiser Prado ,31 700 $,2012,"20""",Սպիտակ,5,Ամենագնաց,282,Ձախ,6,4.0 Full 2018 VX,Բենզին,4.0,Սև,130000 կմ,Ավտոմատ,Լիաքարշակ
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858368,E 320 ,6 400 $,2000,,Այլ գույն,,Սեդան,,Ձախ,,AMJ japn,Բենզին,,,88000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  24.10.2018, ID: 1858364,Elantra ,6 800 $,2011,"16""",Մոխրագույն,,Սեդան,,Ձախ,,,Բենզին,1.8,Մոխրագույն,65000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858362,Camry ,8 500 $,2011,"16""",Սպիտակ,5,Սեդան,171,Ձախ,4,LE,Բենզին,2.5,Բեժ,105000 կմ,Ավտոմատ,Առջևի
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858357,Camry ,11 500 $,2014,"17""",Մոխրագույն,5,Սեդան,181,Ձախ,4,SE,Բենզին,2.5,Սև,107000 կմ,Ավտոմատ,Առջևի
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858353,X-Trail ,4 500 $,2005,,Արծաթագույն,,Ամենագնաց,,Ձախ,,,Բենզին,,,98000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858352,X-Trail ,4 800 $,2005,,Սև,,Ամենագնաց,,Ձախ,,,Բենզին,,,90000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858350,Corolla ,8 500 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,74000 կմ,Ավտոմատ,
Nissan, Տեղադրված է՝  24.10.2018, ID: 1858349,X-Trail ,7 100 $,2008,,Սև,,Ամենագնաց,,Աջ,,,Բենզին,,,100000 կմ,Ավտոմատ,
Hyundai, Տեղադրված է՝  24.10.2018, ID: 1858342,Sonata ,6 990 $,2009,"16""",Արծաթագույն,4,Սեդան,150,Ձախ,4,Sonata Y20,Գազ,2.0,Սև,71000 կմ,Ավտոմատ,Առջևի
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858336,E 350 ,24 500 $,2014,,Սև,,Սեդան,,Ձախ,,,Բենզին,,,43000 մղոն,Ավտոմատ,
Mercedes-Benz, Տեղադրված է՝  24.10.2018, ID: 1858330,C 300 ,9 200 $,2009,,Սպիտակ,,Սեդան,,Ձախ,,POLNI FULL,Բենզին,,,73000 կմ,Ավտոմատ,
Toyota, Տեղադրված է՝  24.10.2018, ID: 1858321,Camry ,9 700 $,2011,,Սպիտակ,,Սեդան,,Ձախ,,,Բենզին,,,90000 կմ,Ավտոմատ,
