,brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
0,Ford, Տեղադրված է՝  03.10.2018, ID: 1833751,Transit ,6 300 $,2002,,Սպիտակ,,Ունիվերսալ,,Ձախ,,90DZIAUJ,Դիզել,,,190000 կմ,Մեխանիկական,
1,Honda, Տեղադրված է՝  03.10.2018, ID: 1833742,Fit ,4 000 $,2008,"14""",Սև,4,Հետչբեք,100,Աջ,4,1.3,Բենզին,1.3,Կապույտ,133500 կմ,Վարիատոր,Առջևի
2,Ford, Տեղադրված է՝  03.10.2018, ID: 1833725,Focus ,6 500 $,2014,,Արծաթագույն,,Սեդան,,Ձախ,,,Բենզին,,,55000 կմ,Ավտոմատ,
3,Infiniti, Տեղադրված է՝  03.10.2018, ID: 1833622,FX35 ,6 200 $,2005,,Նարնջագույն,,Ամենագնաց,,Ձախ,6,,Բենզին,3.5,Շագանակագույն,170000 կմ,Ավտոմատ,Լիաքարշակ
4,Honda, Տեղադրված է՝  03.10.2018, ID: 1833613,Elysion ,6 400 $,2006,"16""",Սև,5,Մինիվեն / Միկրոավտոբուս,,Ձախ,,Honda Elysion 2006 IDEALAKAN,Բենզին,2.4,Սև,134000 կմ,Ավտոմատ,Առջևի
5,Honda, Տեղադրված է՝  03.10.2018, ID: 1833439,Ridgeline ,19 200 $,2012,"18""",Մոխրագույն,5,Պիկապ,250,Ձախ,6,11.2011,Բենզին,3.5,Սև,88000 կմ,Ավտոմատ,Լիաքարշակ
6,Infiniti, Տեղադրված է՝  03.10.2018, ID: 1833427,G37 ,14 500 $,2012,"18""",Սպիտակ,4,Սեդան,,Ձախ,6,XS REYSTAYLING 11.2011,Բենզին,3.7,Սև,98000 կմ,Ավտոմատ,Լիաքարշակ
7,Ford, Տեղադրված է՝  03.10.2018, ID: 1833415,Transit ,7 300 $,2003,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Դիզել,,,140000 կմ,Մեխանիկական,
8,Ford, Տեղադրված է՝  03.10.2018, ID: 1833414,Transit ,7 300 $,2003,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Դիզել,,,140000 կմ,Մեխանիկական,
9,Honda, Տեղադրված է՝  02.10.2018, ID: 1833338,Elysion ,6 000 $,2004,,Սև,,Մինիվեն / Միկրոավտոբուս,,Աջ,,RR4. 3.0 4x4,Գազ,,,150000 կմ,Ավտոմատ,
10,Honda, Տեղադրված է՝  02.10.2018, ID: 1833337,Elysion ,6 000 $,2004,,Սև,,Մինիվեն / Միկրոավտոբուս,,Աջ,,RR4. 3.0 4x4,Գազ,,,150000 կմ,Ավտոմատ,
11,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1833324,FX35 ,12 900 $,2009,"18""",Այլ գույն,4,Ամենագնաց,303,Ձախ,6,,Բենզին,3.5,Սև,125000 կմ,Ավտոմատ,Լիաքարշակ
12,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1833322,G35 ,5 500 $,2004,,Սպիտակ,,Սեդան,,Ձախ,,X. AWD,Բենզին,,,100000 մղոն,Ավտոմատ,
13,Honda, Տեղադրված է՝  02.10.2018, ID: 1833321,Fit ,2 900 $,2003,,Վարդագույն,,Սեդան,,Աջ,,,Գազ,,,200000 կմ,Ավտոմատ,
14,Honda, Տեղադրված է՝  02.10.2018, ID: 1833320,Fit ,2 900 $,2003,,Այլ գույն,,Սեդան,,Աջ,,,Գազ,,,200000 կմ,Ավտոմատ,
15,Ford, Տեղադրված է՝  02.10.2018, ID: 1833305,Transit ,7 000 $,2004,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Դիզել,,,120000 կմ,Մեխանիկական,
16,Ford, Տեղադրված է՝  02.10.2018, ID: 1833304,Transit ,7 400 $,2003,,Արծաթագույն,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Դիզել,,,160000 կմ,Մեխանիկական,
17,Honda, Տեղադրված է՝  02.10.2018, ID: 1833291,Elysion ,6 500 $,2005,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Աջ,,2.4,Գազ,,,170000 կմ,Ավտոմատ,
18,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1833242,FX35 ,13 000 $,2009,"18""",Սպիտակ,4,Հետչբեք,307,Ձախ,6,4x4 գինը մաքսազերծումով,Բենզին,3.5,Սև,133000 մղոն,Ավտոմատ,Լիաքարշակ
19,Ford, Տեղադրված է՝  02.10.2018, ID: 1833209,Transit ,8 500 $,2009,"16""",Սպիտակ,3,Մինիվեն / Միկրոավտոբուս,140,Ձախ,4,,Դիզել,2.4,Մոխրագույն,160000 կմ,Մեխանիկական,Ետևի
20,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1833097,FX37 ,13 000 $,2009,"18""",Սպիտակ,4,Հետչբեք,307,Ձախ,6,"4x4 MAQSAZERCVAC E, EREVANUM E",Բենզին,3.5,Սև,133000 մղոն,Ավտոմատ,Լիաքարշակ
21,Ford, Տեղադրված է՝  02.10.2018, ID: 1833063,Transit ,7 300 $,2005,,Սպիտակ,,Ֆուրգոն,135,Ձախ,,բեռնատար,Դիզել,2.4,,180000 կմ,Մեխանիկական,
22,Honda, Տեղադրված է՝  02.10.2018, ID: 1832998,Elysion ,5 800 $,2006,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Աջ,,2.4 mator,Գազ,,,165000 կմ,Ավտոմատ,
23,Ford, Տեղադրված է՝  02.10.2018, ID: 1832992,Transit ,4 800 $,2004,,Արծաթագույն,,Ֆուրգոն,100,Ձախ,,"ՇՏԱՊ,Նոր է բերված",Դիզել,2.0,,228000 կմ,Մեխանիկական,
24,Honda, Տեղադրված է՝  02.10.2018, ID: 1832974,Ridgeline ,15 000 $,2006,,Արծաթագույն,,Պիկապ,,Ձախ,,,Բենզին,,,142355 մղոն,Ավտոմատ,
25,Ford, Տեղադրված է՝  02.10.2018, ID: 1832957,Transit ,12 000 $,2009,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,,Դիզել,,,4000 կմ,Մեխանիկական,
26,Honda, Տեղադրված է՝  02.10.2018, ID: 1832941,CR-V ,8 300 $,2007,"17""",Արծաթագույն,4,Ամենագնաց,,Ձախ,4,Full,Բենզին,2.4,Սև,98000 մղոն,Ավտոմատ,Լիաքարշակ
27,Ford, Տեղադրված է՝  02.10.2018, ID: 1832568,Fusion ,11 500 $,2014,,Սև,,Սեդան,,Ձախ,,Ford Fusion 2.5 SE,Բենզին,,,51000 մղոն,Ավտոմատ,
28,Ford, Տեղադրված է՝  02.10.2018, ID: 1832556,Transit ,6 900 $,2000,,Սպիտակ,,Մինիվեն / Միկրոավտոբուս,,Ձախ,,GERAZANC VICHAK,Գազ,,,230000 կմ,Մեխանիկական,
29,Ford, Տեղադրված է՝  02.10.2018, ID: 1832543,Transit ,8 500 $,2006,"16""",Սպիտակ,5,Ֆուրգոն,140,Ձախ,4,140 dziauj,Դիզել,2.4,,170000 կմ,Մեխանիկական,Ետևի
30,Ford, Տեղադրված է՝  02.10.2018, ID: 1832539,Transit ,4 900 $,2002,"15""",Սպիտակ,,Ֆուրգոն,75,Ձախ,4,Anteri vichak,Դիզել,2.0,,165000 կմ,Մեխանիկական,Առջևի
31,Ford, Տեղադրված է՝  02.10.2018, ID: 1832530,Transit ,6 300 $,2001,"16""",Սպիտակ,5,Ֆուրգոն,90,Ձախ,4,Anteri vichak,Դիզել,2.4,,150000 կմ,Մեխանիկական,Ետևի
32,Ford, Տեղադրված է՝  02.10.2018, ID: 1832524,Transit ,7 200 $,2001,"16""",Սպիտակ,5,Ֆուրգոն,120,Ձախ,4,120 dziauj,Դիզել,2.4,,176000 կմ,Մեխանիկական,Ետևի
33,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1832521,FX35 ,13 000 $,2007,"18""",Սպիտակ,5,Ամենագնաց,280,Ձախ,6,,Բենզին,3.5,Բեժ,133400 մղոն,Կիսաավտոմատ,Լիաքարշակ
34,Ford, Տեղադրված է՝  02.10.2018, ID: 1832520,Transit ,6 200 $,2001,,Սպիտակ,,Ֆուրգոն,120,Ձախ,,120 dziauj,Դիզել,2.4,,160000 կմ,Մեխանիկական,Ետևի
35,Honda, Տեղադրված է՝  02.10.2018, ID: 1832519,CR-V ,5 400 $,2003,,Սև,,Ունիվերսալ,,Ձախ,,,Բենզին,,,210000 կմ,Ավտոմատ,
36,Honda, Տեղադրված է՝  02.10.2018, ID: 1832511,Elysion ,6 500 $,2004,,Ոսկեգույն,,Մինիվեն / Միկրոավտոբուս,,Աջ,,,Բենզին,3.0,,150000 կմ,Ավտոմատ,Առջևի
37,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1832507,FX35 ,9 300 $,2006,,Մոխրագույն,,Ամենագնաց,,Ձախ,,Restayling 4х4,Բենզին,,,150000 կմ,Ավտոմատ,
38,Ford, Տեղադրված է՝  02.10.2018, ID: 1832476,Escape ,5 000 $,2004,"16""",Այլ գույն,4,Ամենագնաց,,Ձախ,4,,Գազ,3.0,Բեժ,170000 կմ,Ավտոմատ,Լիաքարշակ
39,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1832427,FX35 ,9 700 $,2007,,Այլ գույն,,Ամենագնաց,,Ձախ,,Restayling,Բենզին,,,125000 կմ,Ավտոմատ,
40,Ford, Տեղադրված է՝  02.10.2018, ID: 1832420,Transit ,7 000 $,2008,,Սպիտակ,,Ֆուրգոն,,Ձախ,,Սառնարան բեռնատար,Դիզել,2.4,,196800 կմ,Մեխանիկական,
41,Ford, Տեղադրված է՝  02.10.2018, ID: 1832393,Transit ,6 999 $,2003,"15""",Սպիտակ,5,Մինիվեն / Միկրոավտոբուս,109,Ձախ,4,SHTAP,Դիզել,2.2,Մոխրագույն,189000 կմ,Մեխանիկական,Ետևի
42,Infiniti, Տեղադրված է՝  02.10.2018, ID: 1832386,FX35 ,7 333 $,2005,,Արծաթագույն,,Ամենագնաց,,Ձախ,,FX45 FX45 FX45FX45,Գազ,,,93000 կմ,Կիսաավտոմատ,
43,Ford, Տեղադրված է՝  02.10.2018, ID: 1832377,Fiesta ,7 400 $,2010,,Մոխրագույն,,Հետչբեք,,Ձախ,,,Բենզին,,,104000 մղոն,Ավտոմատ,
44,Honda, Տեղադրված է՝  01.10.2018, ID: 1832345,Edix ,3 750 $,2006,"15""",Սպիտակ,5,Հետչբեք,130,Աջ,4,Edix 3×2 6-nstatex,Գազ,1.7,Սև,143000 կմ,Ավտոմատ,Առջևի
45,Honda, Տեղադրված է՝  01.10.2018, ID: 1832332,Elysion ,6 500 $,2004,,Սպիտակ,5,Մինիվեն / Միկրոավտոբուս,250,Աջ,,,Գազ,3.0,,160000 կմ,Ավտոմատ,Լիաքարշակ
