brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Toyota,2019-03-31, ID: 2099557,Camry ,6200.0,2010,16,Silver,Sedan,171.0,Left,4.0,LE,Petrol,2.5,Grey,14000.0,Automatic,Front
Hyundai,2019-03-31, ID: 2099555,Sonata ,10800.0,2016,,black,Sedan,,Left,,se,Petrol,,,36000.0,Automatic,
Toyota,2019-03-31, ID: 2099551,Sienna ,10500.0,2008,,White,Minivan / Minibus,,Left,,,Petrol,,,120000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099549,E 350 ,9300.0,2008,,black,Sedan,,Left,,,Petrol,,,91500.0,Automatic,
Hyundai,2019-03-31, ID: 2099547,Veloster ,7400.0,2012,,Blue,Hatchback,,Left,,,Petrol,,,52000.0,Automatic,
Hyundai,2019-03-31, ID: 2099545,Sonata ,6800.0,2013,,black,Sedan,,Left,,2012-2013,Astragalus,,,107145.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099544,E 320 ,7500.0,2003,,black,Sedan,,Left,,,Petrol,,,206000.0,Kiaavtomat,
Nissan,2019-03-31, ID: 2099543,Teana ,4000.0,2004,,White,Sedan,,Left,,,Petrol,,,99000.0,Automatic,
Hyundai,2019-03-31, ID: 2099542,Veloster ,8500.0,2013,,black,Hatchback,,Left,,Turbo havaqac,Petrol,,,65000.0,Automatic,
Toyota,2019-03-31, ID: 2099541,Vitz ,3700.0,2006,16,black,Hatchback,110.0,Right,,RS 1.5 VVTI,Petrol,1.5,black,105000.0,Variator:,Front
Mercedes-Benz,2019-03-31, ID: 2099537,E 320 ,5000.0,2001,,black,Sedan,,Left,,2001- 2002 gorcaranain zax e,Astragalus,,,161221.0,Automatic,
Toyota,2019-03-31, ID: 2099536,Camry ,12000.0,2014,,White,Sedan,,Left,,Spitak Margarit,Petrol,,,58000.0,Automatic,
Toyota,2019-03-31, ID: 2099533,Ipsum ,6100.0,2004,,White,Minivan / Minibus,,Right,,,Petrol,,,77000.0,Automatic,
Toyota,2019-03-31, ID: 2099531,Camry ,8500.0,2010,,White,Sedan,,Left,,,Petrol,,,85000.0,Automatic,
BMW,2019-03-31, ID: 2099530,328 ,6000.0,2008,,White,Sedan,,Left,,,Petrol,,,111111.0,Automatic,
Hyundai,2019-03-31, ID: 2099526,Elantra ,7100.0,2013,,Silver,Sedan,,Left,,,Petrol,,,44600.0,Mechanical,
BMW,2019-03-31, ID: 2099525,328 ,4700.0,2008,,White,Sedan,,Left,,Xi,Petrol,,,168000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099524,E 320 ,5000.0,2001,,Silver,Sedan,,Left,,2002-2001,Petrol,,,177000.0,Automatic,
BMW,2019-03-31, ID: 2099511,328 ,6000.0,2009,,Grey,Sedan,,Left,,Restaling,Petrol,,,179000.0,Automatic,
BMW,2019-03-31, ID: 2099502,X5 ,7000.0,2001,20,Silver,Truck:,286.0,Left,8.0,4.4i,Petrol,4.4,black,250000.0,Automatic,Wheel drive
BMW,2019-03-31, ID: 2099501,X5 ,7000.0,2001,20,Silver,Truck:,286.0,Left,8.0,4.4i,Petrol,4.4,black,250000.0,Automatic,Wheel drive
Nissan,2019-03-31, ID: 2099497,Murano ,6000.0,2007,18,White,Truck:,240.0,Left,6.0,3.5L,Petrol,3.5,Beige,148000.0,Variator:,Wheel drive
BMW,2019-03-31, ID: 2099495,X5 ,15000.0,2007,20,Other color,Truck:,,Left,8.0,,Petrol,4.8,black,190000.0,Automatic,Wheel drive
Nissan,2019-03-31, ID: 2099477,Tiida ,3700.0,2007,,Silver,Hatchback,,Right,,,Astragalus,1.5,black,100000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099476,G 500 ,27000.0,2002,20,black,Truck:,297.0,Left,8.0,Avant 2.5,Astragalus,5.0,black,320000.0,Automatic,Wheel drive
Toyota,2019-03-31, ID: 2099473,Corolla ,7000.0,2008,,black,Sedan,,Left,,SPORT. ՇՏԱՊ,Petrol,,,96000.0,Automatic,
Toyota,2019-03-31, ID: 2099464,Alphard ,7000.0,2004,17,White,Universal,,Right,6.0,,Petrol,3.0,Beige,138000.0,Automatic,Front
Nissan,2019-03-31, ID: 2099463,X-Trail ,5000.0,2004,16,White,Universal,150.0,Right,4.0,2,Astragalus,2.0,Grey,180000.0,Automatic,Front
Nissan,2019-03-31, ID: 2099462,BlueBird ,3900.0,2009,,Silver,Sedan,,Right,,2.0,Petrol,,,114000.0,Variator:,
Nissan,2019-03-31, ID: 2099459,Tiida ,3700.0,2005,,White,Hatchback,125.0,Right,,Nissan tiida AXIS,Astragalus,1.5,Beige,130000.0,Variator:,
Mercedes-Benz,2019-03-31, ID: 2099457,C 230 ,4400.0,2004,,red,Hatchback,,Left,,SHTAP AVTOMAT,Petrol,,,180000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099456,E 350 ,7800.0,2006,,White,Sedan,,Left,,4 MATIC,Petrol,,,225000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099455,E 320 ,8700.0,2004,,White,Sedan,,Left,,,Petrol,,,78500.0,Automatic,
Toyota,2019-03-31, ID: 2099454,Camry ,11200.0,2012,,White,Sedan,,Left,4.0,,Petrol,2.5,black,66000.0,Automatic,Front
Nissan,2019-03-31, ID: 2099451,Tiida ,3300.0,2005,,White,Hatchback,,Right,,,Astragalus,,,105.0,Automatic,
Nissan,2019-03-31, ID: 2099448,Tiida ,3750.0,2009,,White,Sedan,,Left,,sedan,Petrol,,,91000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099445,C 300 ,9000.0,2009,,White,Sedan,,Left,,C300. 4matic,Petrol,,,106000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099438,E 320 ,3800.0,2001,,White,Sedan,,Left,,,Astragalus,,,150000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099437,C 240 ,4700.0,2003,,White,Sedan,,Left,,AVTOMAT C240,Petrol,,,139000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099434,ML 350 ,12800.0,2010,,black,Truck:,,Left,,4*4. Ger-gerazanc. Restayling,Petrol,,,85000.0,Automatic,
Toyota,2019-03-31, ID: 2099433,Corolla ,17800.0,2017,,White,Sedan,,Left,4.0,,Petrol,,black,26000.0,Automatic,Front
Mercedes-Benz,2019-03-31, ID: 2099431,E 320 ,4600.0,2000,,Silver,Sedan,,Left,,Restyle e320 avtomat,Petrol,,,167000.0,Automatic,
Toyota,2019-03-31, ID: 2099423,Camry ,8100.0,2011,,White,Sedan,,Left,,,Astragalus,,,90000.0,Automatic,
Toyota,2019-03-31, ID: 2099421,Alphard ,7700.0,2005,,White,Universal,,Left,,DZAX XEK 2006,Petrol,,,93000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099420,E 350 ,6400.0,2006,,Silver,Sedan,,Left,,NOR BERVAC FULL VAJARVUMA SHTAP,Petrol,,,155000.0,Automatic,
Nissan,2019-03-31, ID: 2099418,Xterra ,11200.0,2011,16,black,Truck:,,Left,6.0,PRO 4-X OFF ROAD,Petrol,4.0,black,135600.0,Automatic,Wheel drive
Nissan,2019-03-31, ID: 2099414,Xterra ,11200.0,2011,16,White,Truck:,,Left,6.0,PRO 4-X OFF ROAD,Petrol,4.0,black,123500.0,Automatic,Wheel drive
Nissan,2019-03-31, ID: 2099409,Xterra ,11000.0,2011,16,Other color,Truck:,,Left,6.0,57900 MIL ORIGINAL PRABEG,Petrol,4.0,Grey,57900.0,Automatic,Wheel drive
Nissan,2019-03-31, ID: 2099403,Xterra ,9800.0,2010,16,Other color,Truck:,,Left,6.0,4X4 2009-2010,Petrol,4.0,Grey,123600.0,Automatic,Wheel drive
Toyota,2019-03-31, ID: 2099402,Camry ,13500.0,2015,,Chestnut,Sedan,,Left,,2’5,Petrol,,,42000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099401,E 200 ,38800.0,2016,,White,Sedan,,Left,,,Petrol,,,29000.0,Automatic,
Mercedes-Benz,2019-03-31, ID: 2099399,Viano ,16000.0,2016,16,Blue,Universal,,Left,4.0,ford transit connect,Petrol,2.5,black,81000.0,Automatic,Front
Toyota,2019-03-31, ID: 2099395,Ipsum ,6200.0,2007,,White,Minivan / Minibus,,Right,,2.4,Petrol,,,103000.0,Automatic,
Toyota,2019-03-31, ID: 2099393,Ipsum ,6000.0,2004,,White,Minivan / Minibus,,Right,,2.4,Petrol,,,74000.0,Automatic,
Toyota,2019-03-31, ID: 2099390,Ipsum ,6000.0,2005,,White,Minivan / Minibus,,Right,,2.4 4x4,Petrol,,,72000.0,Automatic,
Hyundai,2019-03-31, ID: 2099387,Elantra ,6950.0,2012,17,black,Sedan,,Left,,START-STOP MEC MONITOR,Petrol,1.8,Grey,103000.0,Automatic,Front
Mercedes-Benz,2019-03-31, ID: 2099386,200 ,5200.0,2000,,Silver,Sedan,,Left,,E200,Astragalus,,,153000.0,Mechanical,
Hyundai,2019-03-31, ID: 2099383,Elantra ,6400.0,2011,,black,Sedan,,Left,,SHAT- TARM,Petrol,,,78000.0,Automatic,
Hyundai,2019-03-31, ID: 2099382,Elantra ,12000.0,2016,17,black,Sedan,145.0,Left,4.0,1.8 Limited,Petrol,1.8,black,29000.0,Automatic,Front
Hyundai,2019-03-31, ID: 2099381,Elantra ,7200.0,2012,,White,Sedan,,Left,,Նոր բերած ԱՄՆ-ից,Petrol,1.8,Beige,72000.0,Automatic,
