brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Suzuki,2018-12-22, ID: 1943023,SX 4 ,4000.0,2008,,cyan,Hatchback,,Left,,,Petrol,,,106000.0,Automatic,
Porsche,2018-12-22, ID: 1942975,Cayenne ,8400.0,2005,,black,Sedan,,Left,,S 4.5,Petrol,,,100000.0,Automatic,
VAZ(Lada),2018-12-22, ID: 1942950,2107 ,3000.0,2008,,White,Sedan,,Left,,,Astragalus,,,60000.0,Mechanical,
VAZ(Lada),2018-12-22, ID: 1942876,2107 ,2600.0,2009,,White,Sedan,,Left,,,Astragalus,,,95000.0,Mechanical,
Porsche,2018-12-22, ID: 1942801,Cayenne ,14500.0,2008,,black,Truck:,,Left,,MADE IN GERMANI,Petrol,,,105000.0,Automatic,
VAZ(Lada),2018-12-22, ID: 1942457,2115 ,2300.0,2006,,Silver,Sedan,,Left,,,Petrol,,,207000.0,Mechanical,
VAZ(Lada),2018-12-22, ID: 1942309,2107 ,1500.0,2005,,White,Sedan,,Left,,-,Astragalus,,,200000.0,Mechanical,
Volkswagen,2018-12-22, ID: 1942257,Touareg ,7700.0,2006,17,Silver,Truck:,,Left,6.0,3.2 CEPOV MATOR NOR BARVAC FULL,Petrol,3.2,Grey,117000.0,Automatic,Wheel drive
VAZ(Lada),2018-12-22, ID: 1942244,2110 ,2100.0,2001,,Silver,Sedan,,Left,,lada,Astragalus,,,268000.0,Mechanical,
Porsche,2018-12-22, ID: 1942086,Cayenne ,7500.0,2004,,Blue,Truck:,,Left,,S,Astragalus,,,80000.0,Automatic,
VAZ(Lada),2018-12-22, ID: 1942070,2107 ,2850.0,2010,,Other color,Sedan,,Left,,Заводской,Astragalus,,,71000.0,Mechanical,
Volkswagen,2018-12-22, ID: 1942058,Tiguan ,11500.0,2012,16,White,Truck:,200.0,Left,5.0,TSI-2.0 L,Petrol,2.0,black,111000.0,Automatic,Front
VAZ(Lada),2018-12-21, ID: 1942023,2114 ,2900.0,2007,,black,Hatchback,,Left,,,Astragalus,,,185000.0,Mechanical,
VAZ(Lada),2018-12-21, ID: 1942004,2114 ,2400.0,2006,,Other color,Sedan,,Left,,,Petrol,,,100.0,Mechanical,
VAZ(Lada),2018-12-21, ID: 1941989,2107 ,2600.0,2010,,black,Sedan,,Left,,,Astragalus,,,1111.0,Mechanical,
Volkswagen,2018-12-21, ID: 1941985,Jetta ,6500.0,2009,,Grey,Sedan,,Left,,Jetta 2.5,Petrol,,,164999.0,Automatic,
VAZ(Lada),2018-12-21, ID: 1941973,2114 ,3000.0,2010,13,White,Hatchback,90.0,Left,5.0,,Astragalus,1.6,black,163000.0,Mechanical,Front
Volkswagen,2018-12-21, ID: 1941943,Passat ,5300.0,2007,,White,Sedan,,Left,,,Petrol,,,135000.0,Automatic,
VAZ(Lada),2018-12-21, ID: 1941925,21099 ,2200.0,2001,,Grey,Sedan,,Left,,,Astragalus,,,130000.0,Mechanical,
Suzuki,2018-12-21, ID: 1941901,SX 4 ,6100.0,2012,,White,Sedan,,Left,,2.0 sport,Petrol,,,94770.0,Automatic,
VAZ(Lada),2018-12-21, ID: 1941895,2170 Priora ,3900.0,2008,,Other color,Sedan,,Left,,,Petrol,,,162000.0,Mechanical,
VAZ(Lada),2018-12-21, ID: 1941841,2112 ,2100.0,2007,,Silver,Hatchback,,Left,,,Petrol,,,174000.0,Mechanical,
VAZ(Lada),2018-12-21, ID: 1941532,21099 ,2200.0,2001,,Silver,Sedan,,Left,,,Astragalus,,,45320.0,Mechanical,
Peugeot,2018-12-21, ID: 1941502,407 ,7500.0,2009,17,black,Sedan,163.0,Left,4.0,,Petrol,2.2,black,60500.0,Automatic,Front
