brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Honda,2019-02-02, ID: 1994829,Fit ,3200.0,2005,,black,Hatchback,,Right,,,Petrol,,,113000.0,Variator:,
Honda,2019-02-02, ID: 1994726,Elysion ,4900.0,2006,,black,Minivan / Minibus,,Left,,,Petrol,,,107000.0,Automatic,
Honda,2019-02-02, ID: 1994585,HR-V ,3500.0,2000,,White,Universal,,Right,,,Astragalus,,,160000.0,Automatic,
Infiniti,2019-02-02, ID: 1994354,FX35 ,13999.0,2009,20,White,Truck:,303.0,Left,6.0,4X4 kanadakan,Petrol,3.5,black,126000.0,Automatic,Wheel drive
Honda,2019-02-02, ID: 1994319,Stepwgn ,5350.0,2008,,Silver,Minivan / Minibus,,Switched from right to left,,2.0 avtomat,Petrol,,,125000.0,Automatic,
Infiniti,2019-02-02, ID: 1994305,QX4 ,5800.0,2002,,Other color,Truck:,,Left,,,Petrol,,,150000.0,Automatic,
Honda,2019-02-02, ID: 1994233,Elysion ,5300.0,2006,16,black,Minivan / Minibus,,Left,,Honda Elysion 2006 IDEALAKAN Jap,Petrol,2.4,black,135000.0,Automatic,Front
Ford,2019-02-02, ID: 1994195,Transit ,6800.0,2001,16,White,Universal,125.0,Left,4.0,"2,4 125diauj",Diesel,2.4,Grey,178000.0,Mechanical,Rear
Honda,2019-02-02, ID: 1994108,Fit ,2700.0,2007,,White,Hatchback,,Right,,,Petrol,,,106000.0,Variator:,
Ford,2019-02-02, ID: 1994073,Transit ,7500.0,2003,16,White,Sedan,125.0,Left,,,Diesel,2.4,Grey,220000.0,Mechanical,Rear
GAZ,2019-02-02, ID: 1994044,3110 ,2200.0,2003,,Silver,Sedan,,Left,,,Astragalus,,,160000.0,Mechanical,
Honda,2019-02-02, ID: 1994015,Accord ,8200.0,2010,,black,Sedan,,Left,,,Petrol,,,106000.0,Automatic,
Infiniti,2019-02-02, ID: 1993980,QX56 ,7300.0,2007,,Silver,Truck:,,Left,,,Astragalus,,,235000.0,Automatic,
Infiniti,2019-02-02, ID: 1993979,QX56 ,7300.0,2007,,Silver,Truck:,,Left,,,Astragalus,,,135000.0,Automatic,
Infiniti,2019-02-02, ID: 1993978,QX56 ,7300.0,2007,,Silver,Truck:,,Left,,,Astragalus,,,135000.0,Automatic,
Honda,2019-02-02, ID: 1993976,Elysion ,4900.0,2005,16,White,Universal,160.0,Left,4.0,2.4,Petrol,2.4,Beige,90200.0,Automatic,Front
Infiniti,2019-02-02, ID: 1993940,FX35 ,15900.0,2009,,White,Truck:,,Left,,RESTYLING,Astragalus,,,86000.0,Automatic,
Infiniti,2019-02-02, ID: 1993907,FX35 ,14500.0,2010,21,Chestnut,Truck:,,Left,6.0,Gerazanc vichak 4x4 kanadakan,Petrol,3.5,Chestnut,122000.0,Automatic,Wheel drive
Ford,2019-02-02, ID: 1993870,Transit ,6500.0,2004,16,White,Furgon:,125.0,Left,4.0,NOR BERVAC 125 dziauj,Diesel,2.4,Grey,179000.0,Mechanical,Rear
Honda,2019-02-02, ID: 1993863,Elysion ,4400.0,2005,,White,Minivan / Minibus,,Left,,,Petrol,,,141000.0,Automatic,
Infiniti,2019-02-02, ID: 1993855,FX35 ,9300.0,2007,,black,Truck:,,Left,,Restayling 2006-2007,Petrol,,,107000.0,Automatic,
Infiniti,2019-02-02, ID: 1993854,FX35 ,15900.0,2012,,Grey,Truck:,,Left,,Restayling,Petrol,,,71000.0,Automatic,
Ford,2019-02-02, ID: 1993815,Transit ,7000.0,2002,,White,Pickup,,Left,,,Diesel,,,170000.0,Mechanical,
Honda,2019-02-02, ID: 1993789,Odyssey ,5300.0,2009,16,Silver,Minivan / Minibus,,Left,6.0,Shtap Restiling,Petrol,3.5,Grey,193000.0,Automatic,Front
Honda,2019-02-01, ID: 1993748,CR-V ,8600.0,2009,,Blue,Truck:,,Left,,LX 2.4,Petrol,,,130700.0,Automatic,
Honda,2019-02-01, ID: 1993739,Elysion ,6000.0,2006,,black,Minivan / Minibus,,Switched from right to left,,G Aero,Petrol,,,141000.0,Automatic,
GAZ,2019-02-01, ID: 1993702,3110 ,1600.0,2000,,White,Sedan,,Left,,Plitka ijektor,Astragalus,,,1479.0,Mechanical,
Honda,2019-02-01, ID: 1993690,Elysion ,6400.0,2008,,black,Sedan,,Left,,,Petrol,,,150000.0,Automatic,
GAZ,2019-02-01, ID: 1993622,Соболь ,2800.0,2003,,White,Universal,,Left,,,Astragalus,,,143768.0,Mechanical,
GAZ,2019-02-01, ID: 1993618,Соболь ,2800.0,2003,,Silver,Universal,,Left,,,Astragalus,,,213441.0,Mechanical,
Honda,2019-02-01, ID: 1993585,CR-V ,6800.0,2004,,black,Truck:,,Left,,,Astragalus,,,83500.0,Mechanical,
Ford,2019-02-01, ID: 1993410,Transit ,6600.0,2000,,White,Furgon:,,Left,,24. 125.T,Diesel,,,12345.0,Mechanical,
Ford,2019-02-01, ID: 1993346,Transit ,4900.0,2005,15,White,Furgon:,,Left,4.0,BERNATAR 2.0 MATOR PRASTOY FARSU,Diesel,2.0,Grey,128000.0,Mechanical,Front
Ford,2019-02-01, ID: 1993329,Transit ,6800.0,2007,16,White,Furgon:,,Left,4.0,BERNATAR 2.4 MATOR,Diesel,2.4,Grey,128000.0,Mechanical,Rear
Chrysler,2019-02-01, ID: 1993263,300 ,6900.0,2008,,White,Sedan,,Left,,2.7 м,Astragalus,,,144400.0,Automatic,
Infiniti,2019-02-01, ID: 1993261,FX35 ,16000.0,2009,20,Grey,Truck:,306.0,Left,6.0,Full Collection,Petrol,3.5,Chestnut,95000.0,Automatic,Wheel drive
GAZ,2019-02-01, ID: 1993241,3110 ,1700.0,2002,,cyan,Sedan,,Left,,,Astragalus,,,180000.0,Mechanical,
Honda,2019-02-01, ID: 1993189,Odyssey ,18500.0,2016,,Grey,Minivan / Minibus,,Left,,,Petrol,,,20000.0,Automatic,
