brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Jeep,2019-02-17, ID: 2020688,Grand Cherokee ,4500.0,2001,,Grey,Truck:,,Left,,4 Litranoc mator 2-noc gazi balo,Astragalus,,,200000.0,Automatic,
Ford,2019-02-17, ID: 2020626,Fusion ,8500.0,2013,,black,Sedan,,Left,,FULL,Petrol,,,98000.0,Automatic,
Honda,2019-02-17, ID: 2020621,Elysion ,5400.0,2006,,White,Universal,,Left,,,Petrol,,,104000.0,Automatic,
Infiniti,2019-02-17, ID: 2020555,FX35 ,13500.0,2009,18,White,Truck:,,Left,6.0,Gerazanc vichak 4x4 kanadakan,Petrol,3.5,black,125000.0,Automatic,Wheel drive
Infiniti,2019-02-17, ID: 2020516,FX35 ,15800.0,2012,,White,Truck:,,Left,,Restayling,Petrol,,,71000.0,Automatic,
Infiniti,2019-02-17, ID: 2020508,FX35 ,8900.0,2007,,black,Truck:,,Left,,Restayling,Petrol,,,107000.0,Automatic,
Ford,2019-02-17, ID: 2020499,Transit ,5000.0,2001,,White,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,143998.0,Mechanical,
Ford,2019-02-17, ID: 2020498,Transit ,4800.0,2001,,White,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,164000.0,Mechanical,
Ford,2019-02-17, ID: 2020497,Transit ,7200.0,2005,,White,Furgon:,,Left,,IDEAJAKAN VICHAK 125 ZIAUJ,Diesel,,,162000.0,Mechanical,
Ford,2019-02-17, ID: 2020496,Transit ,7000.0,2003,,White,Furgon:,,Left,,IDEAJAKAN VICHAK 125 ZIAUJ,Diesel,,,152000.0,Mechanical,
Ford,2019-02-17, ID: 2020490,Transit ,11000.0,2011,,White,Furgon:,,Left,,"ՇՏԱՊ,Նոր է բերված",Diesel,2.4,,108000.0,Mechanical,
Honda,2019-02-17, ID: 2020443,CR-V ,3800.0,2001,15,black,Truck:,140.0,Left,4.0,գազ 1.6,Astragalus,2.0,,208000.0,Automatic,Wheel drive
Honda,2019-02-17, ID: 2020432,CR-V ,4200.0,2001,,black,Truck:,,Left,,,Petrol,,,222000.0,Automatic,
Honda,2019-02-16, ID: 2020293,Elysion ,5500.0,2005,17,Golden,Minivan / Minibus,160.0,Left,4.0,JAPAN,Petrol,2.4,Beige,161000.0,Automatic,Front
Ford,2019-02-16, ID: 2020287,Transit ,6950.0,2005,16,White,Furgon:,90.0,Left,4.0,Nor bervac,Diesel,2.4,,190000.0,Mechanical,Rear
Ford,2019-02-16, ID: 2020263,Transit ,4500.0,2002,,White,Furgon:,110.0,Left,,Connect 1.8 turbo,Diesel,1.8,,70000.0,Mechanical,
Honda,2019-02-16, ID: 2020259,Fit ,5400.0,2008,,White,Hatchback,,Right,,Rs 1.5 120HP,Petrol,,,837383.0,Automatic,
Honda,2019-02-16, ID: 2020157,Fit ,2800.0,2004,14,Blue,Hatchback,110.0,Right,,1.5 variator,Astragalus,1.5,black,120000.0,Variator:,Front
Honda,2019-02-16, ID: 2020156,Elysion ,6700.0,2007,,Silver,Minivan / Minibus,,Left,,,Petrol,,,127000.0,Automatic,
Ford,2019-02-16, ID: 2020137,Mustang ,24000.0,2016,19,Other color,Sedan,317.0,Left,,Միակը Հայաստանում,Petrol,,black,60000.0,Automatic,Rear
Infiniti,2019-02-16, ID: 2020127,FX35 ,13500.0,2009,20,White,Truck:,303.0,Left,6.0,4X4 kanadakan,Petrol,3.5,black,129000.0,Automatic,Wheel drive
GAZ,2019-02-16, ID: 2020102,31105 ,2500.0,2004,,Silver,Sedan,,Left,,,Astragalus,,,82998.0,Mechanical,
Honda,2019-02-16, ID: 2020091,Accord ,5200.0,2002,16,Silver,Sedan,200.0,Right,5.0,IVtech 2.4 200 hp,Astragalus,2.4,Other color,86000.0,Kiaavtomat,Front
Honda,2019-02-16, ID: 2020084,Accord ,7900.0,2008,17,Grey,Sedan,149.0,Left,1.0,,Astragalus,2.4,Grey,160000.0,Automatic,Front
Ford,2019-02-16, ID: 2020050,Transit ,8500.0,2000,,White,Universal,,Left,,Bortavoy 4.20 metr liftov,Diesel,,,172000.0,Mechanical,
Honda,2019-02-16, ID: 2020038,Fit ,2200.0,2003,,Blue,Hatchback,,Right,,1.3 4WD,Petrol,,,148000.0,Automatic,
Ford,2019-02-16, ID: 2020026,Transit ,4600.0,2005,,White,Furgon:,,Left,,,Diesel,,,210000.0,Mechanical,
Infiniti,2019-02-16, ID: 2020006,QX4 ,6500.0,2002,,black,Truck:,,Left,,,Astragalus,,,155000.0,Automatic,
Honda,2019-02-16, ID: 2019986,Elysion ,7002.0,2007,,black,Minivan / Minibus,,Left,,"3.5, PRESTIGE, FULL 4×4",Petrol,3.5,Beige,175000.0,Automatic,
Ford,2019-02-16, ID: 2019983,Explorer ,6800.0,2005,,black,Truck:,,Left,,XLT,Petrol,,,124411.0,Automatic,
Ford,2019-02-16, ID: 2019890,Transit ,8300.0,2007,,Other color,Furgon:,,Left,,,Diesel,,,140000.0,Mechanical,
