brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Ford,2019-01-07, ID: 1956075,Explorer ,8500.0,2008,16,black,Truck:,210.0,Left,6.0,4x4,Petrol,4.0,Beige,200.0,Automatic,Wheel drive
Honda,2019-01-07, ID: 1956056,Elysion ,4444.0,2004,16,White,Minivan / Minibus,159.0,Right,4.0,2.3 բենզին,Astragalus,2.3,black,115000.0,Automatic,Front
Infiniti,2019-01-07, ID: 1956044,FX35 ,16000.0,2009,20,Grey,Truck:,306.0,Left,6.0,Full Collection,Petrol,3.5,Chestnut,94000.0,Automatic,Wheel drive
Honda,2019-01-07, ID: 1956039,Domani ,2600.0,2000,,Silver,Sedan,,Right,,շատ շտապ,Astragalus,1.5,Grey,116000.0,Automatic,Front
Honda,2019-01-07, ID: 1956036,Fit ,3000.0,2005,14,orange,Hatchback,,Right,4.0,4*4,Astragalus,1.5,Beige,200000.0,Variator:,Wheel drive
Infiniti,2019-01-07, ID: 1955999,FX35 ,15300.0,2009,,White,Truck:,,Left,,4X4 GAZOV,Astragalus,,,125000.0,Automatic,
Hummer,2019-01-07, ID: 1955988,H2 ,22000.0,2004,,black,Truck:,,Left,,HUMMER sakarkeli,Petrol,,,98000.0,Automatic,
Infiniti,2019-01-07, ID: 1955926,FX35 ,9000.0,2006,,Grey,Truck:,,Left,,Restayling 4х4,Petrol,,,150000.0,Automatic,
Honda,2019-01-07, ID: 1955903,Odyssey ,6900.0,2006,,Grey,Universal,,Left,,,Petrol,,,95000.0,Automatic,
Infiniti,2019-01-07, ID: 1955897,FX35 ,13700.0,2009,,Other color,Truck:,,Left,6.0,,Petrol,3.5,black,110000.0,Automatic,
Infiniti,2019-01-07, ID: 1955818,QX4 ,7000.0,2001,,Grey,Truck:,,Left,,35L,Petrol,,,156000.0,Automatic,
Ford,2019-01-07, ID: 1955768,Explorer ,6200.0,2006,,black,Truck:,,Left,,,Petrol,,,117000.0,Automatic,
