brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Niva,2019-01-20, ID: 1974709,2121 ,6800.0,2016,,black,Coupe,83.0,Left,4.0,4x4,Petrol,1.7,Grey,47000.0,Mechanical,Wheel drive
Opel,2019-01-20, ID: 1974691,Astra ,3000.0,2000,,black,Hatchback,,Left,,"Opel astra g,prastoy 1,6,gaz 1,3",Petrol,,,189000.0,Mechanical,
Opel,2019-01-20, ID: 1974686,Omega ,2650.0,2002,,black,Sedan,,Left,,,Astragalus,3.2,Beige,182000.0,Automatic,
Mitsubishi,2019-01-20, ID: 1974664,Pajero Pinin (IO) ,4700.0,2007,16,Silver,Truck:,,Left,4.0,,Petrol,1.8,black,104000.0,Automatic,Wheel drive
Niva,2019-01-20, ID: 1974658,2121 ,4000.0,2008,,White,Coupe,,Left,,,Astragalus,,,170000.0,Mechanical,
Opel,2019-01-20, ID: 1974648,Astra ,2750.0,2000,,Silver,Hatchback,,Left,,1.6,Petrol,,,149000.0,Mechanical,
Kia,2019-01-20, ID: 1974645,Optima ,12650.0,2016,16,black,Sedan,185.0,Left,4.0,2.4 GDI,Petrol,2.4,black,49000.0,Automatic,Front
Mitsubishi,2019-01-20, ID: 1974643,Airtrek ,4000.0,2001,,Silver,Universal,,Right,,2.2 gta,Astragalus,,,166000.0,Automatic,
Lexus,2019-01-20, ID: 1974642,GX 470 ,16000.0,2005,,White,Truck:,,Left,,4.7L. 94L hexik gaz,Petrol,,,156000.0,Automatic,
Opel,2019-01-20, ID: 1974638,Zafira ,3650.0,2003,15,Blue,Universal,125.0,Left,4.0,1.8Z hexuk gaz 42L,Astragalus,1.8,black,200000.0,Mechanical,Front
Mazda,2019-01-20, ID: 1974637,6 ,11500.0,2015,,red,Sedan,,Left,,,Petrol,2.5,black,30000.0,Automatic,
Mitsubishi,2019-01-20, ID: 1974634,Pajero ,8000.0,2005,,Other color,Universal,,Left,,,Astragalus,,,140000.0,Automatic,
Lexus,2019-01-20, ID: 1974629,GX 470 ,16200.0,2007,,White,Truck:,164.0,Left,,2006/12-2007.restayling 2009 vvt,Astragalus,,,116000.0,Automatic,
