brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Ford,2019-03-04, ID: 2050470,Transit ,5900.0,2001,,yellow,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,127000.0,Mechanical,
Ford,2019-03-04, ID: 2050467,Transit ,7000.0,2003,,White,Furgon:,,Left,,IDEAJAKAN VICHAK 125 ZIAUJ,Petrol,,,152000.0,Mechanical,
Ford,2019-03-04, ID: 2050464,Fiesta ,6400.0,2014,,Blue,Hatchback,,Left,,ford fiesta 1.6 ավտոմատ,Petrol,,,85000.0,Automatic,
Ford,2019-03-04, ID: 2050457,Transit ,4300.0,2003,,red,Universal,,Left,,,Diesel,,,224000.0,Mechanical,
Honda,2019-03-04, ID: 2050427,Elysion ,5100.0,2005,17,White,Minivan / Minibus,170.0,Right,6.0,G,Petrol,2.4,Grey,60000.0,Automatic,Front
Ford,2019-03-04, ID: 2050422,Transit ,5900.0,2001,,yellow,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,127000.0,Mechanical,
Ford,2019-03-04, ID: 2050419,Transit ,7000.0,2003,,White,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,152000.0,Mechanical,
Infiniti,2019-03-04, ID: 2050413,FX35 ,9600.0,2007,20,Other color,Truck:,,Left,,,Astragalus,3.5,black,115000.0,Automatic,
Honda,2019-03-04, ID: 2050409,Odyssey ,5900.0,2005,17,cyan,Minivan / Minibus,255.0,Left,6.0,EXL_Full,Petrol,3.5,Grey,87000.0,Automatic,Front
Honda,2019-03-03, ID: 2050341,Fit ,3800.0,2008,,black,Hatchback,,Right,,1.3,Petrol,,,141000.0,Variator:,
Fiat,2019-03-03, ID: 2050311,Panda ,3300.0,2005,14,White,Truck:,74.0,Left,4.0,climbing,Petrol,1.5,Grey,119000.0,Mechanical,Wheel drive
Honda,2019-03-03, ID: 2050299,CR-V ,9600.0,2010,17,Chestnut,Universal,179.0,Left,4.0,Restyling,Petrol,2.4,Beige,110000.0,Automatic,Wheel drive
Infiniti,2019-03-03, ID: 2050272,FX35 ,14500.0,2009,,White,Truck:,,Left,,,Petrol,,,91000.0,Automatic,
Ford,2019-03-03, ID: 2050257,Transit ,5300.0,2001,,Blue,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,67000.0,Mechanical,
Ford,2019-03-03, ID: 2050232,Fusion ,8497.0,2013,,White,Sedan,,Left,,16,Petrol,,,135000.0,Automatic,
Honda,2019-03-03, ID: 2050201,Elysion ,6500.0,2005,,White,Minivan / Minibus,,Left,,3.5 cc. 2wd spitak marqarit,Petrol,,,102200.0,Kiaavtomat,
Ford,2019-03-03, ID: 2050199,Transit ,5900.0,2006,,Silver,Minivan / Minibus,,Left,,,Diesel,,,173000.0,Mechanical,
Ford,2019-03-03, ID: 2050195,Transit ,6300.0,2002,,White,Minivan / Minibus,,Left,,,Diesel,,,133000.0,Mechanical,
Ford,2019-03-03, ID: 2050177,Focus ,1000.0,2002,,Blue,Sedan,,Left,,pahestamaser,Astragalus,,,88888.0,Mechanical,
Ford,2019-03-03, ID: 2050152,Focus ,5200.0,2014,,White,Hatchback,,Left,,2.0,Petrol,,,147000.0,Automatic,
Honda,2019-03-03, ID: 2050086,CR-V ,15800.0,2013,17,black,Truck:,175.0,Left,4.0,,Petrol,2.4,black,35000.0,Automatic,Wheel drive
Honda,2019-03-03, ID: 2050084,Elysion ,7300.0,2007,17,White,Minivan / Minibus,,Left,,,Petrol,2.4,black,95000.0,Automatic,Front
Ford,2019-03-03, ID: 2050080,Edge ,7.731958762886598,2008,,Cherry,Truck:,,Left,,,Petrol,,,280000.0,Automatic,
Honda,2019-03-03, ID: 2050035,Odyssey ,6000.0,2006,16,Silver,Minivan / Minibus,244.0,Left,6.0,,Petrol,3.5,Grey,170000.0,Automatic,Front
Infiniti,2019-03-03, ID: 2050032,FX35 ,6999.0,2004,,White,Truck:,,Left,,SPORT SPORT,Astragalus,,,90000.0,Automatic,
Honda,2019-03-03, ID: 2049969,Elysion ,7300.0,2008,,black,Minivan / Minibus,,Left,,Restayling,Petrol,,,103000.0,Automatic,
GAZ,2019-03-03, ID: 2049956,Соболь ,3.5628865979381446,2006,,White,Universal,,Left,,,Petrol,,,139000.0,Mechanical,
