brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Ford,2019-03-17, ID: 2075465,Explorer ,5500.0,2005,,White,Truck:,,Left,,,Astragalus,,,250000.0,Automatic,
Infiniti,2019-03-17, ID: 2075451,QX4 ,6500.0,2003,,black,Truck:,,Left,,LUXURY,Petrol,,,143000.0,Automatic,
Honda,2019-03-17, ID: 2075441,Fit ,3900.0,2008,,black,Hatchback,,Right,,,Astragalus,,,85000.0,Variator:,
Infiniti,2019-03-17, ID: 2075433,FX35 ,23000.0,2009,,black,Truck:,,Left,,Hi-Tech+Black Quartz,Petrol,,,72000.0,Automatic,
Ford,2019-03-17, ID: 2075426,Escape ,3800.0,2001,,green,Truck:,,Left,,,Astragalus,,,130000.0,Automatic,
Infiniti,2019-03-17, ID: 2075409,FX35 ,20000.0,2012,,black,Truck:,,Left,,,Petrol,,,75000.0,Automatic,
Honda,2019-03-17, ID: 2075388,Ridgeline ,10800.0,2005,,Silver,Pickup,,Left,,"4WD Pick Up,Նոր է բերված",Petrol,3.5,,140000.0,Automatic,Wheel drive
Ford,2019-03-17, ID: 2075351,Transit ,6400.0,2010,,White,Furgon:,,Left,,NOR BERVAC GERMANYAIC,Diesel,,,96000.0,Mechanical,
Ford,2019-03-17, ID: 2075346,Transit ,5500.0,2007,,Silver,Furgon:,,Left,,NOR BERVAC GERMANYAIC,Diesel,,,230000.0,Mechanical,
Infiniti,2019-03-17, ID: 2075344,FX35 ,12700.0,2009,20,black,Truck:,,Left,6.0,GERAZANC VICHAK 4x4,Petrol,3.5,black,127000.0,Automatic,Wheel drive
Infiniti,2019-03-17, ID: 2075341,FX35 ,13000.0,2009,18,black,Truck:,,Left,6.0,GERAZANC VICHAK 4x4,Petrol,3.5,black,61000.0,Automatic,Wheel drive
Ford,2019-03-17, ID: 2075329,Transit ,5800.0,2007,,White,Minivan / Minibus,,Left,,110,Diesel,,,165000.0,Mechanical,
Infiniti,2019-03-17, ID: 2075280,FX35 ,7500.0,2004,,Golden,Sedan,,Left,,,Petrol,,,10.0,Automatic,
Honda,2019-03-17, ID: 2075228,Fit ,3800.0,2008,,Silver,Hatchback,,Left,,1.3,Petrol,,,140000.0,Variator:,
GAZ,2019-03-17, ID: 2075124,Газель ,4500.0,2007,16,Blue,Universal,140.0,Left,4.0,4x4 Լիաքարշակ,Astragalus,2.4,Grey,150000.0,Mechanical,Wheel drive
GAZ,2019-03-17, ID: 2075118,31105 ,1900.0,2004,,black,Sedan,,Left,,,Astragalus,,,200000.0,Mechanical,
Infiniti,2019-03-17, ID: 2075086,FX35 ,10500.0,2007,18,Blue,Truck:,,Left,6.0,,Petrol,3.5,black,110000.0,Automatic,Wheel drive
Jeep,2019-03-17, ID: 2075085,Grand Cherokee ,3700.0,2000,,black,Universal,,Left,,,Astragalus,,,230000.0,Automatic,
Ford,2019-03-17, ID: 2075034,Transit ,6800.0,2003,,White,Minivan / Minibus,,Left,,125,Diesel,,,16000.0,Mechanical,
Ford,2019-03-17, ID: 2075029,Mondeo ,3800.0,2005,16,Silver,Sedan,145.0,Left,4.0,,Astragalus,2.0,black,220000.0,Automatic,Front
Honda,2019-03-17, ID: 2075008,Elysion ,7700.0,2007,,black,Minivan / Minibus,,Left,,,Petrol,,,13.0,Automatic,
Honda,2019-03-17, ID: 2074988,Civic ,3200.0,2003,,Silver,Sedan,,Right,,,Astragalus,,,145.0,Automatic,
Ford,2019-03-17, ID: 2074915,Transit ,5800.0,2003,,Other color,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC LUX,Diesel,,,105000.0,Mechanical,
Ford,2019-03-17, ID: 2074883,Transit ,5200.0,2001,,White,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,116000.0,Mechanical,
Ford,2019-03-17, ID: 2074880,Transit ,8300.0,2008,,White,Furgon:,,Left,,ANTERI GERAZANC HOR BERVAC,Diesel,,,145000.0,Mechanical,
Infiniti,2019-03-17, ID: 2074875,FX35 ,7500.0,2004,,White,Truck:,,Left,,FX45,Petrol,,,170000.0,Automatic,
Ford,2019-03-17, ID: 2074868,Transit ,7000.0,2003,,White,Furgon:,,Left,,IDEAJAKAN VICHAK 125 ZIAUJ,Diesel,,,154000.0,Mechanical,
Jaguar,2019-03-17, ID: 2074819,X-Type ,3500.0,2002,,green,Sedan,,Right,,2.5,Astragalus,,,124999.0,Kiaavtomat,
Infiniti,2019-03-17, ID: 2074812,FX35 ,12700.0,2009,,Silver,Universal,,Left,,INFINITI FX 3.5 4*4 SPORT FULL,Petrol,,,146000.0,Automatic,
Infiniti,2019-03-17, ID: 2074783,FX35 ,8700.0,2006,,Grey,Truck:,,Left,,Restayling 4х4,Petrol,,,150000.0,Automatic,
Honda,2019-03-17, ID: 2074736,Fit ,3000.0,2005,,White,Sedan,,Right,,1.3,Petrol,,,165000.0,Variator:,
Honda,2019-03-17, ID: 2074702,Elysion ,5400.0,2006,,White,Minivan / Minibus,,Switched from right to left,,,Petrol,,,120000.0,Automatic,
Honda,2019-03-17, ID: 2074694,Elysion ,7400.0,2008,,Grey,Minivan / Minibus,,Switched from right to left,,,Petrol,,,137000.0,Automatic,
Honda,2019-03-17, ID: 2074656,Elysion ,8000.0,2007,,White,Minivan / Minibus,,Left,,,Petrol,,,95000.0,Automatic,
Ford,2019-03-17, ID: 2074638,Transit ,4700.0,2004,,Beige,Universal,,Left,,Turbo Disel 85 T280,Diesel,,,150000.0,Mechanical,
Honda,2019-03-17, ID: 2074634,Odyssey ,6700.0,2007,,Silver,Minivan / Minibus,,Left,,3.5,Petrol,,,153000.0,Automatic,
Honda,2019-03-17, ID: 2074627,Elysion ,6700.0,2006,,White,Sedan,,Right,,,Astragalus,,,135000.0,Automatic,
Infiniti,2019-03-17, ID: 2074588,FX35 ,12700.0,2009,20,White,Truck:,303.0,Left,6.0,4X4 kanadakan,Petrol,3.5,black,129000.0,Automatic,Wheel drive
Ford,2019-03-17, ID: 2074563,Focus ,6700.0,2012,,White,Sedan,,Left,,2.0 benzin,Petrol,,,118000.0,Automatic,
Ford,2019-03-17, ID: 2074476,Transit ,6200.0,2001,16,White,Furgon:,125.0,Left,4.0,NOR BERVAC-125 DZIAUJ,Diesel,2.4,Grey,174000.0,Mechanical,Rear
Honda,2019-03-17, ID: 2074472,CR-V ,8900.0,2011,17,black,Universal,184.0,Left,4.0,NORE BERVEL USAIC ERPEVE VTARVAC,Petrol,2.4,black,106000.0,Automatic,Wheel drive
Ford,2019-03-17, ID: 2074461,Explorer ,6900.0,2006,18,black,Truck:,296.0,Left,8.0,LIMITED 4.6 296 HP,Astragalus,4.6,black,114000.0,Automatic,Wheel drive
Ford,2019-03-17, ID: 2074460,Escape ,6800.0,2009,,Grey,Truck:,,Left,,Sport,Petrol,,,140000.0,Automatic,
Honda,2019-03-17, ID: 2074459,Elysion ,5500.0,2005,,White,Minivan / Minibus,,Left,,,Petrol,,,150000.0,Automatic,
