brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Volkswagen,2018-11-25, ID: 1903266,Polo ,3200.0,2004,,Silver,Hatchback,,Left,,,Petrol,,,82000.0,Automatic,
Porsche,2018-11-25, ID: 1903237,Cayenne ,11300.0,2004,19,Grey,Truck:,250.0,Left,6.0,,Astragalus,3.2,black,108000.0,Automatic,Wheel drive
Volkswagen,2018-11-25, ID: 1903170,Jetta ,3600.0,2003,,Blue,Sedan,,Left,,,Astragalus,,,109000.0,Automatic,
VAZ(Lada),2018-11-25, ID: 1903080,2107 ,1500.0,2002,,White,Sedan,,Left,,,Astragalus,,,13000.0,Mechanical,
VAZ(Lada),2018-11-25, ID: 1903077,2172 Priora ,2750.0,2009,,black,Hatchback,,Left,,,Petrol,,,140.0,Mechanical,
VAZ(Lada),2018-11-25, ID: 1903043,2115 ,1600.0,2004,,Silver,Sedan,,Left,,,Petrol,,,200000.0,Mechanical,
Volkswagen,2018-11-25, ID: 1902994,Passat ,5200.0,2006,17,Silver,Sedan,200.0,Left,4.0,2.0 FSI,Petrol,2.0,black,150000.0,Automatic,Front
Porsche,2018-11-25, ID: 1902985,Cayenne ,25500.0,2011,19,White,Truck:,405.0,Left,8.0,,Petrol,4.8,Beige,85000.0,Automatic,Wheel drive
Porsche,2018-11-25, ID: 1902978,Cayenne ,25500.0,2011,19,White,Truck:,405.0,Left,8.0,,Petrol,4.8,Beige,85000.0,Automatic,Wheel drive
VAZ(Lada),2018-11-25, ID: 1902968,2110 ,3000.0,2005,,Silver,Sedan,,Left,,1.6,Petrol,,,108000.0,Mechanical,
Porsche,2018-11-25, ID: 1902931,Panamera ,33500.0,2010,,White,Hatchback,,Left,,,Petrol,,,78000.0,Automatic,
VAZ(Lada),2018-11-25, ID: 1902928,2107 ,2000.0,2005,,White,Sedan,,Left,,,Petrol,,,165000.0,Mechanical,
Volvo,2018-11-25, ID: 1902898,S40 ,2900.0,2000,,Silver,Sedan,,Left,,SHAAAAAAAAT SHTAAAAAP,Petrol,1.8,black,270000.0,Mechanical,
VAZ(Lada),2018-11-25, ID: 1902854,2170 Priora ,6300.0,2015,14,Chestnut,Sedan,106.0,Left,4.0,,Petrol,1.6,black,38900.0,Mechanical,Front
VAZ(Lada),2018-11-25, ID: 1902849,2172 Priora ,3500.0,2010,,black,Sedan,,Left,,,Petrol,,,157000.0,Mechanical,
VAZ(Lada),2018-11-25, ID: 1902835,2107 ,2500.0,2011,,Cherry,Sedan,,Left,,1.6,Petrol,,,64000.0,Mechanical,
VAZ(Lada),2018-11-25, ID: 1902807,2170 Priora ,1700.0,2008,,White,Sedan,,Left,,1.6 16 valve klapan tsrox,Astragalus,,,280000.0,Mechanical,
