brand,date,id_val,model,price,year,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train,sold
0,Opel,2018-08-02, ID: 1770041,Astra ,3000.0,2003,black,Hatchback,,Left,,Petrol,,,140000.0,Mechanical,,No
1,Opel,2018-08-02, ID: 1770516,Insignia‎ ,6500.0,2008,black,Sedan,220.0,Left,,Petrol,2.0,Beige,96000.0,Automatic,Front,No
2,Kia,2018-08-02, ID: 1770787,Optima ,9000.0,2011,black,Sedan,,Left,,Petrol,,,103000.0,Automatic,,No
3,Lexus,2018-08-02, ID: 1770875,GX 470 ,15300.0,2004,White,Truck:,238.0,Left,8.0,Petrol,4.7,Beige,116000.0,Automatic,Rear,No
4,Volvo,2018-08-02, ID: 1770337,XC90 ,6000.0,2004,Blue,Universal,268.0,Right,6.0,Petrol,2.9,Beige,213000.0,Automatic,Front,No
5,BMW,2018-08-02, ID: 1770766,525 ,4.4536082474226815,2001,black,Sedan,192.0,Left,6.0,Petrol,2.5,,210000.0,Automatic,Rear,No
6,Mazda,2018-08-02, ID: 1769876,CX9 ,9000.0,2009,black,Truck:,,Left,,Petrol,,,100000.0,Automatic,,No
7,Nissan,2018-08-02, ID: 1770741,Presage ,4.2556701030927835,2003,Cherry,Minivan / Minibus,,Right,,Petrol,,,120000.0,Automatic,,No
8,Toyota,2018-08-02, ID: 1770312,Camry ,16000.0,2015,black,Sedan,,Left,4.0,Petrol,2.5,black,47000.0,Automatic,Front,No
9,VAZ(Lada),2018-08-02, ID: 1770057,2112 ,2.7216494845360826,2007,black,Hatchback,,Left,,Astragalus,,,180000.0,Mechanical,,No
10,Opel,2018-08-02, ID: 1770238,Zafira ,4300.0,2004,Blue,Minivan / Minibus,,Left,,Diesel,,,260000.0,Mechanical,,No
11,Opel,2018-08-02, ID: 1770125,Astra ,4200.0,2002,black,Coupe,147.0,Left,,Astragalus,2.2,black,10.0,Mechanical,,No
12,BMW,2018-08-02, ID: 1770817,X5 ,20000.0,2008,black,Truck:,286.0,Left,6.0,Diesel,3.0,black,170000.0,Automatic,Wheel drive,No
13,BMW,2018-08-02, ID: 1770822,323 ,4500.0,2000,black,Sedan,170.0,Left,6.0,Petrol,2.5,Beige,300000.0,Automatic,Rear,No
14,Mercedes-Benz,2018-08-02, ID: 1770849,A 170 ,4200.0,2005,White,Sedan,,Left,,Petrol,,,58000.0,Automatic,,No
15,Mercedes-Benz,2018-08-02, ID: 1770852,C 240 ,4800.0,2001,Silver,Sedan,,Left,,Astragalus,,,250000.0,Automatic,,No
16,Nissan,2018-08-02, ID: 1770859,X-Trail ,5.14639175257732,2004,black,Truck:,,Right,,Astragalus,,,96000.0,Automatic,,No
17,Mercedes-Benz,2018-08-02, ID: 1770933,E 350 ,12200.0,2009,White,Sedan,,Left,,Petrol,,,137000.0,Automatic,,No
18,Mercedes-Benz,2018-08-02, ID: 1770107,C 200 ,4400.0,2001,Silver,Sedan,,Left,,Astragalus,,,210000.0,Mechanical,,No
19,Opel,2018-08-02, ID: 1770207,Astra ,3400.0,2003,Blue,Hatchback,,Left,,Petrol,,,160000.0,Mechanical,,No
20,Toyota,2018-08-02, ID: 1769921,Camry ,8800.0,2010,black,Sedan,181.0,Left,4.0,Petrol,2.5,Grey,88000.0,Automatic,Front,Yes
21,Lexus,2018-08-02, ID: 1770242,GX 470 ,17550.0,2007,White,Universal,,Left,,Astragalus,,,192000.0,Automatic,,No
