"","coef","standard_error","T_value","P_value"
"(Intercept)",-126.109145974208,1.39240281352205,-90.5694420820776,0
"modelAudi A4 ",-0.144124762250179,0.0352825273837226,-4.08487636621717,0.0000444306012907989
"modelAudi A6 ",-0.0294331513559957,0.0360188367339107,-0.817159964754921,0.413855713617169
"modelAudi Q7 ",0.314408725830943,0.0592376775704171,5.30758022134138,0.000000113373998579805
"modelBMW 316",-0.0883469678084086,0.050135772056975,-1.76215432980687,0.0780725619117998
"modelBMW 318",-0.193102858808213,0.0217973673543214,-8.8589991474328,0.000000000000000000938836119688355
"modelBMW 320",-0.155235503116948,0.0154208656878468,-10.0665881059641,0.00000000000000000000000996491810682013
"modelBMW 323",-0.0827878948453796,0.029067899267565,-2.84808661552496,0.00440691012152545
"modelBMW 325",-0.221352309426001,0.0155512520282574,-14.2337291572275,0.0000000000000000000000000000000000000000000015113404972197
"modelBMW 328",-0.224042824268991,0.01925124749813,-11.6378340827395,0.000000000000000000000000000000412186057306273
"modelBMW 330",-0.189522896164382,0.0212533694671589,-8.91731056843649,0.000000000000000000557748229799926
"modelBMW 335",-0.264024617819685,0.154244386372811,-1.71172918527832,0.0869763649998077
"modelBMW 520",0.378411203743216,0.0892942070081617,4.23780238855392,0.0000227663194956802
"modelBMW 523",-0.0731461507866476,0.0889711216728644,-0.822133625060913,0.411019674239302
"modelBMW 525",-0.0215952601627269,0.0167432173327352,-1.28979154564907,0.197151688379001
"modelBMW 528",0.0308007708169623,0.0190228378270243,1.61914700093832,0.10544592183328
"modelBMW 530",-0.0356000862852426,0.0169031155191313,-2.10612571658459,0.0352173043026401
"modelBMW 535",0.064500390231467,0.0289741714494325,2.22613407061655,0.0260265193151155
"modelBMW 740",0.0145082448837187,0.0773809862459582,0.187491082597523,0.851279267783247
"modelBMW 745",0.049294190107325,0.0633930861498456,0.777595682765873,0.436825072707195
"modelBMW 750",0.202781023122739,0.0373666219074,5.42679570086,0.0000000586613405813685
"modelBMW M3 ",-0.0768495036931171,0.0707795871221011,-1.0857580104352,0.277611202450373
"modelBMW X3 ",-0.107248510016994,0.063565682528567,-1.68720771571665,0.0915933691477302
"modelBMW X5 ",0.127661075613813,0.0151694479191182,8.4156705171136,0.0000000000000000441894872920078
"modelBMW X6 ",0.655974947091069,0.0262726397630511,24.9679877243858,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110694291043444
"modelChevrolet Aveo ",-0.74468649097178,0.0514517169279953,-14.4735012830367,0.0000000000000000000000000000000000000000000000508922090645841
"modelChevrolet Camaro ",0.181627755286161,0.0554462610086222,3.27574397231072,0.0010572859950328
"modelChevrolet Cruze ",-0.407542459561866,0.0470798080375001,-8.65641718923852,0.00000000000000000558710911027899
"modelChevrolet Niva ",-0.409308108191003,0.0647279600784239,-6.32351317259325,0.000000000266166654888627
"modelChrysler 300",-0.0449161888426778,0.0586416897132336,-0.765942950524184,0.443727609603888
"modelChrysler 300 C ",-0.248605905752227,0.0774462911707727,-3.21004275342301,0.0013311783393355
"modelFord Escape ",-0.270758564924893,0.042367693690398,-6.39068453674778,0.000000000172207601943331
"modelFord Explorer ",-0.0960648922791382,0.0264699966905327,-3.62919925537796,0.000285663607872643
"modelFord Fiesta ",-0.649898150486678,0.0601351114992345,-10.8072993345153,0.00000000000000000000000000442460617517407
"modelFord Focus ",-0.513677000739082,0.0306453885500983,-16.7619672989081,0.0000000000000000000000000000000000000000000000000000000000000301977442518579
"modelFord Fusion ",-0.201336375624127,0.0302297200230986,-6.66021304432476,0.0000000000287223650120327
"modelFord Mondeo ",-0.378979256839425,0.0559539767270089,-6.77305312343406,0.000000000013289652669301
"modelFord Mustang ",0.351328844566166,0.0636059319652423,5.52352325814754,0.0000000340253359397394
"modelFord Transit ",-0.0672513063272669,0.0339830441010175,-1.9789665142227,0.0478460782249373
"modelGAZ 3110",-1.06577351733006,0.0698432309454711,-15.2595105195255,0.000000000000000000000000000000000000000000000000000518902285073905
"modelGAZ 31105",-1.09002044255121,0.0594536834650313,-18.3339429791986,0.0000000000000000000000000000000000000000000000000000000000000000000000000641437149153952
"modelGAZ Газель ",-0.476014709465031,0.154138981398812,-3.0882175627813,0.00201890776648509
"modelHonda Accord ",-0.145638442272231,0.0286401330426615,-5.08511751866836,0.000000373790644833678
"modelHonda Civic ",-0.511538441474445,0.0896768246345629,-5.70424347158797,0.0000000120047976455263
"modelHonda CR-V ",0.0316405261487785,0.0217332433120108,1.45585846044858,0.145461898587067
"modelHonda Elysion ",-0.205395415320735,0.0179450122259818,-11.4458219773934,0.00000000000000000000000000000373624293617975
