brand,model,price,year,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train,sold
Toyota,Camry ,8800,2010,black,Sedan,181,Left,4,Petrol,2.5,Grey,88000,Automatic,Front,Yes
BMW,318,4000,2001,Silver,Sedan,118,Left,6,Petrol,1.9,black,190000,Mechanical,Rear,Yes
BMW,X5 ,15000,2008,black,Truck:,286,Left,6,Diesel,3,black,170000,Automatic,Wheel drive,No
BMW,323,4500,2000,black,Sedan,170,Left,6,Petrol,2.5,Beige,300000,Automatic,Rear,No
Lexus,ES 350 ,24500,2012,black,Sedan,277,Left,6,Petrol,3.5,black,81000,Automatic,Front,No
Toyota,Land Cruiser 100 ,17000,2004,black,Truck:,224,Left,6,Petrol,4.5,Beige,200000,Automatic,Wheel drive,No
BMW,525,9500,2001,black,Sedan,192,Left,6,Petrol,2.5,,210000,Automatic,Rear,No
Suzuki,SX 4 ,4900,2008,Blue,Sedan,143,Left,4,Astragalus,2,black,190000,Automatic,Front,Yes
Toyota,4-Runner ,8900,2005,White,Truck:,249,Left,6,Astragalus,4,Grey,160000,Automatic,Rear,Yes
BMW,320,6500,2004,black,Sedan,143,Left,4,Petrol,2,black,112000,Automatic,Rear,No
Mercedes-Benz,C 230 ,6000,2006,red,Sedan,204,Left,6,Petrol,2.5,black,134000,Automatic,,No
Volvo,XC90 ,6000,2004,Blue,Universal,268,Right,6,Petrol,2.9,Beige,213000,Automatic,Front,No
Honda,CR-V ,16500,2012,Chestnut,Truck:,189,Left,4,Petrol,2.4,black,89000,Automatic,,No
Honda,Elysion ,7300,2007,White,Universal,160,Right,4,Astragalus,2.4,black,190000,Automatic,Front,Yes
Lexus,GX 470 ,15300,2004,White,Truck:,238,Left,8,Petrol,4.7,Beige,116000,Automatic,Rear,No
VAZ(Lada),2113,3000,2007,black,Hatchback,77,Left,4,Petrol,1.6,black,238658,Mechanical,Front,No
Toyota,Vitz ,3400,2007,PPO,Sedan,90,Right,4,Petrol,1.3,Beige,117000,Automatic,Front,No
Toyota,Camry ,11750,2013,Grey,Sedan,178,Left,4,Petrol,2.5,,68800,Automatic,Front,No
Toyota,Rav 4 ,20000,2016,White,Truck:,171,Left,4,Petrol,2.5,black,52000,Automatic,Wheel drive,No
VAZ(Lada),2107,3100,2011,Silver,Sedan,74,Left,4,Astragalus,1.6,black,85000,Mechanical,Rear,No
Toyota,Corolla ,9200,2010,Silver,Sedan,110,Left,4,Astragalus,1.6,Beige,102000,Automatic,Front,Yes
Toyota,Ipsum ,4700,2001,White,Universal,160,Right,4,Astragalus,2.4,black,150000,Automatic,Front,No
VAZ(Lada),2107,1855.670103,2004,White,Sedan,77,Left,4,Astragalus,0.3,Grey,70000,Mechanical,Rear,No
